 C, MCS, D
  0.3000000     ,          27 ,  0.1613889    
  0.3000000     ,          28 ,  0.1545238    
  0.3000000     ,          29 ,  0.1589224    
  0.3000000     ,          30 ,  0.1587882    
  0.3000000     ,          31 ,  0.1555511    
  0.3000000     ,          32 ,  0.1619075    
  0.3000000     ,          33 ,  0.1559280    
  0.3000000     ,          34 ,  0.1555270    
  0.3000000     ,          35 ,  0.1647589    
  0.3000000     ,          36 ,  0.1592216    
  0.3000000     ,          37 ,  0.1596200    
  0.3000000     ,          38 ,  0.1547588    
  0.3000000     ,          39 ,  0.1590064    
  0.3000000     ,          40 ,  0.1575547    
  0.3000000     ,          41 ,  0.1602007    
  0.3000000     ,          42 ,  0.1563095    
  0.3000000     ,          43 ,  0.1644356    
  0.3000000     ,          44 ,  0.1552699    
  0.3000000     ,          45 ,  0.1586875    
  0.3000000     ,          46 ,  0.1633967    
  0.3000000     ,          47 ,  0.1602283    
  0.3000000     ,          48 ,  0.1582487    
  0.3000000     ,          49 ,  0.1581271    
  0.3000000     ,          50 ,  0.1562313    
  0.4000000     ,           1 ,  0.1500000    
  0.4000000     ,           2 ,  0.1458203    
  0.4000000     ,           3 ,  0.1464583    
  0.4000000     ,           4 ,  0.1378906    
  0.4000000     ,           5 ,  0.1414844    
  0.4000000     ,           6 ,  0.1407162    
  0.4000000     ,           7 ,  0.1374442    
  0.4000000     ,           8 ,  0.1372070    
  0.4000000     ,           9 ,  0.1349132    
  0.4000000     ,          10 ,  0.1328359    
  0.4000000     ,          11 ,  0.1355113    
  0.4000000     ,          12 ,  0.1335873    
  0.4000000     ,          13 ,  0.1329627    
  0.4000000     ,          14 ,  0.1323047    
  0.4000000     ,          15 ,  0.1337344    
  0.4000000     ,          16 ,  0.1340527    
  0.4000000     ,          17 ,  0.1345266    
  0.4000000     ,          18 ,  0.1284548    
  0.4000000     ,          19 ,  0.1305058    
  0.4000000     ,          20 ,  0.1344258    
  0.4000000     ,          21 ,  0.1292560    
  0.4000000     ,          22 ,  0.1313920    
  0.4000000     ,          23 ,  0.1319361    
  0.4000000     ,          24 ,  0.1305501    
  0.4000000     ,          25 ,  0.1315438    
  0.4000000     ,          26 ,  0.1360697    
  0.4000000     ,          27 ,  0.1296238    
  0.4000000     ,          28 ,  0.1313281    
  0.4000000     ,          29 ,  0.1285803    
