1.000000000000000000e+01,3.163962398989947467e+00
2.100000000000000000e+01,4.584624424699972778e+00
4.600000000000000000e+01,6.727605155543010085e+00
1.000000000000000000e+02,1.003297618832794669e+01
2.150000000000000000e+02,1.467334167484239593e+01
4.640000000000000000e+02,2.158838426675069400e+01
1.000000000000000000e+03,3.147063384419760368e+01
2.154000000000000000e+03,4.635417826311765310e+01
4.641000000000000000e+03,6.804431075112420046e+01
1.000000000000000000e+04,1.000472200902265030e+02
