k,m
45800,0.96
45900,0.82
46000,0.98
46100,0.98
46200,0.9
46300,0.94
46400,0.96
46500,0.98
46600,0.94
46700,0.98
46800,1.0
46900,1.0
47000,1.0
47100,0.92
47200,0.98
47300,0.94
47400,0.92
47500,0.98
47600,0.98
47700,0.96
47800,0.94
47900,1.0
48000,0.98
48100,0.96
48200,0.96
48300,0.98
48400,0.92
48500,0.96
48600,1.0
48700,0.98
48800,1.0
48900,0.98
49000,0.96
49100,0.96
49200,0.98
49300,0.98
49400,0.96
49500,0.96
49600,0.98
49700,1.0
49800,1.0
49900,1.0
50000,1.0
50100,0.96
50200,0.98
50300,1.0
50400,0.92
50500,0.98
50600,1.0
50700,0.92
50800,0.9
50900,0.98
51000,0.96
51100,0.98
51200,1.0
51300,0.96
51400,0.96
51500,0.92
51600,1.0
51700,0.96
51800,0.9
51900,0.98
52000,0.96
52100,1.0
52200,0.98
52300,0.96
52400,0.96
52500,1.0
52600,0.96
52700,0.94
52800,0.98
52900,1.0
53000,1.0
53100,0.96
53200,0.96
53300,0.94
53400,0.9
53500,0.96
53600,1.0
53700,0.88
53800,0.94
53900,0.98
54000,0.98
54100,1.0
54200,1.0
54300,1.0
54400,0.96
54500,0.98
54600,0.98
54700,0.94
54800,1.0
54900,0.92
55000,0.94
55100,0.94
55200,0.96
55300,1.0
55400,0.96
55500,0.96
55600,0.98
55700,0.96
55800,0.94
55900,1.0
56000,0.98
56100,0.98
56200,1.0
56300,0.9
56400,0.96
56500,1.0
56600,0.98
56700,0.98
56800,0.96
56900,0.96
57000,0.96
57100,1.0
57200,0.96
57300,0.98
57400,0.98
57500,0.98
57600,1.0
57700,1.0
57800,1.0
57900,0.92
58000,0.94
58100,0.94
58200,0.98
58300,0.94
58400,1.0
58500,0.9
58600,1.0
58700,1.0
58800,0.94
58900,1.0
59000,1.0
59100,1.0
59200,0.96
59300,0.9
59400,1.0
59500,0.98
59600,1.0
59700,0.98
59800,0.94
59900,1.0
60000,0.94
60100,0.98
60200,0.96
60300,0.96
60400,0.92
60500,0.96
60600,0.98
60700,0.9
60800,1.0
60900,0.92
61000,0.94
61100,0.98
61200,0.94
61300,1.0
61400,0.98
61500,1.0
61600,0.92
61700,0.8
61800,1.0
61900,0.98
62000,0.98
62100,0.98
62200,0.98
62300,0.96
62400,1.0
62500,1.0
62600,0.96
62700,0.98
62800,0.98
62900,0.96
63000,0.82
63100,0.98
63200,0.96
63300,1.0
63400,0.98
63500,0.86
63600,0.98
63700,1.0
63800,1.0
63900,1.0
64000,0.98
64100,1.0
64200,0.98
64300,0.92
64400,0.98
64500,0.84
64600,0.96
64700,0.96
64800,1.0
64900,0.96
65000,0.92
65100,0.96
65200,1.0
65300,1.0
65400,1.0
65500,1.0
65600,1.0
65700,0.96
65800,1.0
65900,0.96
66000,0.96
66100,0.94
66200,0.98
66300,1.0
66400,1.0
66500,0.98
66600,1.0
66700,1.0
66800,0.94
66900,1.0
67000,1.0
67100,0.94
67200,0.98
67300,0.98
67400,0.98
67500,1.0
67600,1.0
67700,1.0
67800,0.98
67900,0.96
68000,1.0
68100,1.0
68200,0.98
68300,0.98
68400,1.0
68500,0.96
68600,1.0
68700,0.98
68800,0.96
68900,0.92
69000,1.0
69100,0.98
69200,0.98
69300,1.0
69400,0.98
69500,0.98
69600,1.0
69700,0.96
69800,0.94
69900,0.94
70000,0.9
70100,0.94
70200,0.96
70300,0.98
70400,1.0
70500,0.96
70600,0.86
70700,0.96
70800,0.98
70900,0.98
71000,0.98
71100,0.98
71200,0.98
71300,0.96
71400,1.0
71500,0.98
71600,0.96
71700,1.0
71800,1.0
71900,0.92
72000,0.98
72100,0.98
72200,1.0
72300,0.92
72400,0.98
72500,1.0
72600,1.0
72700,1.0
72800,0.98
72900,0.94
73000,1.0
73100,0.96
73200,0.98
73300,1.0
73400,1.0
73500,0.92
73600,0.98
73700,0.94
73800,0.98
73900,1.0
74000,1.0
74100,0.98
74200,1.0
74300,1.0
74400,0.92
74500,0.96
74600,0.98
74700,0.98
74800,0.86
74900,0.96
75000,1.0
75100,0.9
75200,0.98
75300,0.96
75400,0.98
75500,0.98
75600,0.96
75700,1.0
75800,0.96
75900,1.0
76000,1.0
76100,0.9
76200,0.9
76300,0.94
76400,0.98
76500,0.94
76600,0.92
76700,1.0
76800,0.98
76900,0.94
77000,1.0
77100,0.96
77200,0.94
77300,0.98
77400,1.0
77500,1.0
77600,1.0
77700,1.0
77800,0.98
77900,1.0
78000,0.98
78100,0.98
78200,0.98
78300,1.0
78400,0.96
78500,0.94
78600,0.96
78700,1.0
78800,1.0
78900,0.98
79000,0.94
79100,0.98
79200,0.98
79300,0.96
79400,1.0
79500,1.0
79600,1.0
79700,1.0
79800,0.98
79900,0.98
80000,1.0
80100,0.9
80200,0.98
80300,0.94
80400,1.0
80500,1.0
80600,0.94
80700,0.94
80800,0.98
80900,0.96
81000,1.0
81100,0.98
81200,0.94
81300,1.0
81400,1.0
81500,1.0
81600,0.9
81700,0.98
81800,0.86
81900,0.98
82000,1.0
82100,0.94
82200,0.92
82300,0.96
82400,1.0
82500,0.98
82600,0.98
82700,0.98
82800,0.94
82900,0.96
83000,1.0
83100,0.98
83200,0.94
83300,0.98
83400,1.0
83500,0.96
83600,1.0
83700,0.98
83800,0.94
83900,1.0
84000,1.0
84100,0.96
84200,1.0
84300,1.0
84400,1.0
84500,0.98
84600,0.98
84700,0.92
84800,1.0
84900,1.0
85000,0.92
85100,0.96
85200,1.0
85300,0.98
85400,0.98
85500,0.94
85600,0.94
85700,0.96
85800,1.0
85900,1.0
86000,1.0
86100,0.74
86200,0.98
86300,0.98
86400,0.96
86500,0.98
86600,1.0
86700,0.98
86800,1.0
86900,0.96
87000,0.98
87100,0.92
87200,0.98
87300,0.98
87400,1.0
87500,0.98
87600,1.0
87700,1.0
87800,1.0
87900,0.96
88000,0.94
88100,1.0
88200,0.98
88300,0.96
88400,1.0
88500,1.0
88600,0.94
88700,0.98
88800,0.98
88900,0.98
89000,0.98
89100,1.0
89200,0.9
89300,0.96
89400,0.98
89500,0.96
89600,0.88
89700,0.98
89800,0.98
89900,0.96
90000,0.98
90100,0.98
90200,0.94
90300,1.0
90400,0.96
90500,0.96
90600,1.0
90700,0.94
90800,0.96
90900,0.96
91000,1.0
91100,0.96
91200,0.98
91300,1.0
91400,1.0
91500,1.0
91600,0.96
91700,0.94
91800,0.98
