k,m
621100,1.0
621200,0.98
621300,1.0
621400,0.74
621500,1.0
621600,1.0
621700,0.96
621800,0.94
621900,0.98
622000,0.96
622100,1.0
622200,0.94
622300,0.96
622400,1.0
622500,1.0
622600,0.98
622700,1.0
622800,0.98
622900,1.0
623000,0.96
623100,1.0
623200,1.0
623300,0.98
623400,0.98
623500,1.0
623600,0.98
623700,0.98
623800,1.0
623900,0.98
624000,1.0
624100,0.92
624200,0.98
624300,1.0
624400,0.94
624500,0.94
624600,1.0
624700,0.98
624800,0.96
624900,0.98
625000,0.98
625100,0.92
625200,0.98
625300,1.0
625400,1.0
625500,0.96
625600,0.96
625700,0.94
625800,1.0
625900,0.98
626000,0.98
626100,0.96
626200,0.96
626300,0.96
626400,0.98
626500,1.0
626600,1.0
626700,1.0
626800,0.98
626900,1.0
627000,0.98
627100,1.0
627200,0.92
627300,0.98
627400,0.98
627500,1.0
627600,0.98
627700,1.0
627800,0.96
627900,0.96
628000,1.0
628100,0.96
628200,0.98
628300,0.92
628400,0.94
628500,0.92
628600,0.96
628700,0.94
628800,0.98
628900,1.0
629000,1.0
629100,0.98
629200,1.0
629300,0.82
629400,0.96
629500,0.98
629600,0.96
629700,0.96
629800,1.0
629900,0.98
630000,0.96
630100,1.0
630200,0.94
630300,0.98
630400,0.98
630500,0.96
630600,0.98
630700,1.0
630800,0.98
630900,0.92
631000,0.98
631100,0.98
631200,0.98
631300,0.88
631400,0.96
631500,1.0
631600,0.9
631700,0.98
631800,0.94
631900,1.0
632000,0.92
632100,0.96
632200,0.98
632300,1.0
632400,0.96
632500,1.0
632600,0.96
632700,1.0
632800,0.96
632900,0.96
633000,0.98
633100,1.0
633200,1.0
633300,0.94
633400,0.98
633500,0.96
633600,1.0
633700,0.96
633800,0.98
633900,0.94
634000,1.0
634100,1.0
634200,0.94
634300,1.0
634400,1.0
634500,0.96
634600,1.0
634700,0.98
634800,0.96
634900,0.94
635000,1.0
635100,0.98
635200,0.96
635300,1.0
635400,0.84
635500,0.98
635600,0.98
635700,0.9
635800,1.0
635900,0.98
636000,1.0
636100,0.98
636200,0.98
636300,0.98
636400,0.98
636500,1.0
636600,1.0
636700,0.98
636800,0.9
636900,0.94
637000,0.94
637100,1.0
637200,1.0
637300,0.94
637400,0.98
637500,0.92
637600,0.98
637700,0.92
637800,0.94
637900,0.98
638000,0.96
638100,0.98
638200,0.9
638300,0.96
638400,0.94
638500,0.96
638600,0.96
638700,1.0
638800,0.92
638900,0.94
639000,0.96
639100,1.0
639200,1.0
639300,1.0
639400,0.88
639500,0.96
639600,0.88
639700,0.98
639800,0.98
639900,0.98
640000,1.0
640100,0.92
640200,1.0
640300,0.98
640400,0.98
640500,0.98
640600,1.0
640700,0.92
640800,0.98
640900,1.0
641000,1.0
641100,0.96
641200,1.0
641300,0.9
641400,1.0
641500,1.0
641600,0.96
641700,0.84
641800,1.0
641900,0.98
642000,0.98
642100,0.96
642200,1.0
642300,1.0
642400,0.98
642500,0.92
642600,1.0
642700,0.96
642800,0.98
642900,0.98
643000,0.96
643100,0.96
643200,0.98
643300,1.0
643400,1.0
643500,0.94
643600,0.94
643700,0.98
643800,0.98
643900,1.0
644000,1.0
644100,0.96
644200,1.0
644300,0.94
644400,0.96
644500,0.9
644600,0.98
644700,0.94
644800,0.98
644900,0.98
645000,0.94
645100,1.0
645200,1.0
645300,0.94
645400,1.0
645500,0.98
645600,0.96
645700,0.98
645800,0.98
645900,1.0
646000,0.92
646100,1.0
646200,0.96
646300,0.96
646400,0.96
646500,0.96
646600,0.96
646700,0.86
646800,0.96
646900,0.98
647000,0.98
647100,0.96
647200,0.96
647300,1.0
647400,0.9
647500,1.0
647600,1.0
647700,0.9
647800,0.98
647900,0.98
648000,1.0
648100,1.0
648200,1.0
648300,0.82
648400,1.0
648500,0.96
648600,0.98
648700,1.0
648800,0.98
648900,0.92
649000,1.0
649100,0.96
649200,1.0
649300,0.94
649400,0.98
649500,1.0
649600,0.98
649700,0.94
649800,1.0
649900,0.98
650000,1.0
650100,0.94
650200,0.98
650300,1.0
650400,1.0
650500,0.94
650600,0.98
650700,0.88
650800,0.96
650900,1.0
651000,0.98
651100,0.94
651200,0.92
651300,0.94
651400,0.96
651500,1.0
651600,0.98
651700,0.98
651800,1.0
651900,1.0
652000,0.98
652100,0.98
652200,0.98
652300,0.98
652400,0.98
652500,0.96
652600,1.0
652700,0.94
652800,0.96
652900,0.98
653000,0.84
653100,0.98
653200,0.98
653300,1.0
653400,0.98
653500,0.96
653600,1.0
653700,1.0
653800,0.98
653900,0.96
654000,1.0
654100,0.92
654200,0.94
654300,0.98
654400,0.98
654500,0.96
654600,0.98
654700,0.98
654800,0.96
654900,1.0
655000,0.96
655100,0.96
655200,0.96
655300,0.98
655400,0.96
655500,0.98
655600,0.92
655700,0.98
655800,0.98
655900,0.96
656000,0.98
656100,0.96
656200,0.98
656300,1.0
656400,0.92
656500,0.98
656600,0.96
656700,0.98
656800,1.0
656900,0.98
657000,1.0
657100,1.0
657200,1.0
657300,1.0
657400,0.98
657500,1.0
657600,1.0
657700,1.0
657800,0.92
657900,0.96
658000,0.92
658100,0.96
658200,0.98
658300,0.88
658400,0.98
658500,1.0
658600,1.0
658700,0.94
658800,1.0
658900,0.98
659000,0.98
659100,0.9
659200,1.0
659300,0.92
659400,0.92
659500,0.96
659600,0.96
659700,0.98
659800,0.96
659900,1.0
660000,0.92
660100,0.98
660200,0.94
660300,0.92
660400,1.0
660500,1.0
660600,1.0
660700,0.94
660800,0.94
660900,0.98
661000,1.0
661100,0.96
661200,0.98
661300,0.96
661400,0.96
661500,0.98
661600,1.0
661700,0.98
661800,1.0
661900,0.9
662000,1.0
662100,0.96
662200,0.96
662300,1.0
662400,0.96
662500,0.94
662600,1.0
662700,0.96
662800,0.96
662900,0.98
663000,1.0
663100,0.9
663200,1.0
663300,0.98
663400,0.98
663500,1.0
663600,0.9
663700,0.96
663800,0.98
663900,1.0
664000,0.96
664100,0.98
664200,0.96
664300,0.98
664400,0.94
664500,0.94
664600,0.98
664700,0.98
664800,0.94
664900,0.98
665000,0.9
665100,0.96
665200,0.96
665300,0.96
665400,0.96
665500,0.94
665600,1.0
665700,0.98
665800,0.94
665900,0.94
666000,1.0
666100,1.0
666200,0.92
666300,0.88
666400,1.0
666500,0.96
666600,0.98
666700,1.0
666800,0.96
666900,1.0
667000,1.0
667100,0.96
667200,0.98
667300,0.98
667400,1.0
667500,0.96
667600,0.98
667700,0.96
667800,1.0
667900,0.96
668000,0.98
668100,0.98
668200,0.94
668300,0.98
668400,0.98
668500,0.98
668600,0.76
668700,1.0
668800,1.0
668900,0.98
669000,0.96
669100,0.96
669200,0.98
669300,0.92
669400,0.98
669500,0.98
669600,0.9
669700,1.0
669800,1.0
669900,0.96
670000,0.9
670100,0.98
670200,1.0
670300,0.96
670400,1.0
670500,0.98
670600,0.98
670700,0.98
670800,1.0
670900,0.94
671000,0.98
671100,1.0
671200,0.96
671300,0.98
671400,0.94
671500,1.0
671600,0.98
671700,0.98
671800,0.96
671900,0.94
672000,1.0
672100,1.0
672200,0.96
672300,0.98
672400,1.0
672500,1.0
672600,0.98
672700,1.0
672800,0.84
672900,0.96
673000,1.0
673100,0.96
673200,0.98
673300,1.0
673400,0.94
673500,0.96
673600,0.94
673700,0.98
673800,0.94
673900,1.0
674000,0.96
674100,0.98
674200,0.98
674300,0.86
674400,0.96
674500,0.96
674600,1.0
674700,1.0
674800,0.96
674900,1.0
675000,0.98
675100,1.0
675200,1.0
675300,0.98
675400,1.0
675500,0.96
675600,0.98
675700,1.0
675800,0.96
675900,1.0
676000,1.0
676100,0.92
676200,0.96
676300,0.98
676400,1.0
676500,0.98
676600,1.0
676700,0.98
676800,0.96
676900,0.98
677000,0.98
677100,0.98
677200,0.98
677300,1.0
677400,0.96
677500,0.94
677600,1.0
677700,0.98
677800,0.96
677900,1.0
678000,0.98
678100,1.0
678200,0.94
678300,0.96
678400,0.96
678500,0.98
678600,1.0
678700,1.0
678800,0.96
678900,0.96
679000,0.98
679100,0.96
679200,0.98
679300,1.0
679400,0.96
679500,1.0
679600,1.0
679700,0.9
679800,1.0
679900,0.98
680000,0.94
680100,0.88
680200,0.98
680300,0.92
680400,0.98
680500,0.92
680600,1.0
680700,0.98
680800,1.0
680900,0.98
681000,0.96
681100,0.98
681200,1.0
681300,0.94
681400,1.0
681500,1.0
681600,0.94
681700,0.94
681800,0.96
681900,1.0
682000,0.92
682100,0.98
682200,0.76
682300,0.94
682400,0.98
682500,1.0
682600,1.0
682700,0.94
682800,0.94
682900,0.98
683000,1.0
683100,0.98
683200,0.98
683300,0.98
683400,0.98
683500,1.0
683600,0.96
683700,1.0
683800,0.96
683900,0.96
684000,0.98
684100,1.0
684200,0.92
684300,1.0
684400,0.98
684500,1.0
684600,0.96
684700,0.96
684800,0.98
684900,1.0
685000,1.0
685100,1.0
685200,0.98
685300,0.88
685400,1.0
685500,0.94
685600,0.9
685700,1.0
685800,1.0
685900,1.0
686000,0.92
686100,1.0
686200,1.0
686300,0.94
686400,1.0
686500,1.0
686600,0.96
686700,0.96
686800,0.96
686900,1.0
687000,1.0
687100,0.98
687200,0.96
687300,0.96
687400,0.96
687500,1.0
687600,0.96
687700,0.96
687800,0.92
687900,0.94
688000,1.0
688100,0.96
688200,0.98
688300,1.0
688400,1.0
688500,0.98
688600,1.0
688700,1.0
688800,1.0
688900,0.98
689000,0.94
689100,0.96
689200,0.98
689300,1.0
689400,0.98
689500,1.0
689600,0.98
689700,1.0
689800,0.98
689900,1.0
690000,0.98
690100,0.96
690200,0.98
690300,1.0
690400,0.96
690500,1.0
690600,1.0
690700,0.9
690800,0.98
690900,0.86
691000,0.98
691100,0.96
691200,1.0
691300,0.98
691400,0.98
691500,0.9
691600,0.98
691700,1.0
691800,1.0
691900,0.98
692000,0.96
692100,0.96
692200,1.0
692300,1.0
692400,0.94
692500,0.94
692600,0.92
692700,0.96
692800,0.96
692900,1.0
693000,0.94
693100,1.0
693200,0.98
693300,0.9
693400,0.98
693500,1.0
693600,0.96
693700,0.9
693800,0.98
693900,0.98
694000,0.98
694100,0.98
694200,1.0
694300,0.96
694400,0.92
694500,0.96
694600,0.98
694700,0.98
694800,1.0
694900,0.98
695000,0.96
695100,1.0
695200,1.0
695300,0.98
695400,0.96
695500,0.96
695600,1.0
695700,0.98
695800,1.0
695900,1.0
696000,0.98
696100,0.96
696200,1.0
696300,0.94
696400,0.98
696500,1.0
696600,0.92
696700,0.98
696800,0.98
696900,0.94
697000,0.98
697100,0.98
697200,0.94
697300,0.94
697400,0.96
697500,0.9
697600,0.98
697700,1.0
697800,0.98
697900,0.96
698000,1.0
698100,0.92
698200,1.0
698300,0.98
698400,1.0
698500,-1.0
698600,-0.98
698700,-1.0
698800,-1.0
698900,-0.96
699000,-0.98
699100,-1.0
699200,-0.98
699300,-1.0
699400,-0.98
699500,-0.98
699600,-1.0
699700,-0.92
699800,-1.0
699900,-1.0
700000,-1.0
700100,-0.98
700200,-0.84
700300,-1.0
700400,-0.98
700500,-0.92
700600,-1.0
700700,-0.98
700800,-0.96
700900,-1.0
701000,-0.96
701100,-0.98
701200,-1.0
701300,-0.96
701400,-1.0
701500,-0.88
701600,-0.94
701700,-0.98
701800,-0.96
701900,-0.92
702000,-0.98
702100,-0.96
702200,-0.98
702300,-0.96
702400,-0.98
702500,-0.98
702600,-1.0
702700,-0.98
702800,-0.98
702900,-0.92
703000,-0.98
703100,-1.0
703200,-1.0
703300,-0.98
703400,-0.98
703500,-0.98
703600,-1.0
703700,-0.98
703800,-0.92
703900,-1.0
704000,-0.98
704100,-1.0
704200,-0.98
704300,-1.0
704400,-0.98
704500,-1.0
704600,-0.96
704700,-0.98
704800,-0.98
704900,-1.0
705000,-1.0
705100,-1.0
705200,-1.0
705300,-0.96
705400,-0.98
705500,-0.98
705600,-1.0
705700,-1.0
705800,-0.98
705900,-1.0
706000,-1.0
706100,-1.0
706200,-0.98
706300,-1.0
706400,-0.98
706500,-0.92
706600,-0.9
706700,-0.98
706800,-0.96
706900,-0.98
707000,-0.96
707100,-0.98
707200,-0.96
707300,-1.0
707400,-1.0
707500,-1.0
707600,-1.0
707700,-0.96
707800,-0.96
707900,-0.94
708000,-1.0
708100,-0.96
708200,-0.94
708300,-1.0
708400,-0.98
708500,-0.96
708600,-0.98
708700,-1.0
708800,-0.98
708900,-0.98
709000,-1.0
709100,-1.0
709200,-1.0
709300,-0.94
709400,-0.98
709500,-1.0
709600,-0.98
709700,-1.0
709800,-1.0
709900,-0.98
710000,-1.0
710100,-1.0
710200,-0.94
710300,-1.0
710400,-0.94
710500,-0.98
710600,-0.98
710700,-0.98
710800,-0.98
710900,-1.0
711000,-0.98
711100,-0.96
711200,-1.0
711300,-0.96
711400,-1.0
711500,-1.0
711600,-0.94
711700,-1.0
711800,-1.0
711900,-0.98
712000,-0.98
712100,-0.96
712200,-1.0
712300,-1.0
712400,-1.0
712500,-0.98
712600,-0.98
712700,-0.96
712800,-0.94
712900,-0.96
713000,-0.98
713100,-0.98
713200,-0.94
713300,-0.98
713400,-0.98
713500,-0.98
713600,-0.96
713700,-1.0
713800,-1.0
713900,-0.98
714000,-0.98
714100,-1.0
714200,-1.0
714300,-1.0
714400,-0.96
714500,-0.98
714600,-0.98
714700,-0.94
714800,-1.0
714900,-0.96
715000,-1.0
715100,-0.88
715200,-1.0
715300,-0.92
715400,-1.0
715500,-1.0
715600,-1.0
715700,-0.98
715800,-1.0
715900,-1.0
716000,-1.0
716100,-1.0
716200,-0.98
716300,-0.96
716400,-1.0
716500,-0.96
716600,-0.94
716700,-0.98
716800,-0.98
716900,-0.92
717000,-0.96
717100,-0.98
717200,-0.98
717300,-0.98
717400,-0.9
717500,-0.98
717600,-0.98
717700,-0.92
717800,-0.9
717900,-0.96
718000,-0.98
718100,-0.9
718200,-0.98
718300,-1.0
718400,-1.0
718500,-0.96
718600,-1.0
718700,-0.96
718800,-1.0
718900,-0.96
719000,-0.96
719100,-0.96
719200,-0.9
719300,-0.98
719400,-0.94
719500,-0.98
719600,-1.0
719700,-0.92
719800,-0.98
719900,-0.98
720000,-0.96
720100,-1.0
720200,-1.0
720300,-0.96
720400,-1.0
720500,-0.98
720600,-0.98
720700,-1.0
720800,-0.94
720900,-0.98
721000,-0.92
721100,-1.0
721200,-1.0
721300,-1.0
721400,-0.94
721500,-0.96
721600,-1.0
721700,-1.0
721800,-0.92
721900,-1.0
722000,-0.92
722100,-0.98
722200,-0.96
722300,-0.98
722400,-0.98
722500,-0.98
722600,-0.96
722700,-0.98
722800,-1.0
722900,-0.98
723000,-0.96
723100,-0.98
723200,-0.98
723300,-1.0
723400,-0.94
723500,-0.98
723600,-0.94
723700,-1.0
723800,-0.92
723900,-1.0
724000,-0.94
724100,-0.98
724200,-1.0
724300,-0.94
724400,-0.96
724500,-1.0
724600,-1.0
724700,-0.94
724800,-1.0
724900,-0.98
725000,-0.98
725100,-1.0
725200,-1.0
725300,-0.98
725400,-0.94
725500,-1.0
725600,-1.0
725700,-0.98
725800,-0.96
725900,-0.94
726000,-1.0
726100,-0.92
726200,-0.96
726300,-0.94
726400,-0.98
726500,-0.98
726600,-1.0
726700,-0.98
726800,-0.94
726900,-0.94
727000,-0.96
727100,-1.0
727200,-0.98
727300,-1.0
727400,-0.96
727500,-1.0
727600,-0.96
727700,-0.98
727800,-1.0
727900,-1.0
728000,-0.98
728100,-0.98
728200,-0.98
728300,-1.0
728400,-1.0
728500,-0.98
728600,-1.0
728700,-1.0
728800,-0.92
728900,-1.0
729000,-1.0
729100,-0.98
729200,-0.94
729300,-0.98
729400,-1.0
729500,-0.92
729600,-1.0
729700,-0.98
729800,-0.98
729900,-1.0
730000,-1.0
730100,-0.96
730200,-1.0
730300,-1.0
730400,-1.0
730500,-1.0
730600,-1.0
730700,-0.94
730800,-0.98
730900,-0.98
731000,-0.98
731100,-0.98
731200,-0.98
731300,-0.96
731400,-0.96
731500,-1.0
731600,-1.0
731700,-0.88
731800,-0.96
731900,-0.94
732000,-0.88
732100,-0.94
732200,-0.88
732300,-0.98
732400,-1.0
732500,-1.0
732600,-0.98
732700,-0.98
732800,-1.0
732900,-0.9
733000,-1.0
733100,-0.9
733200,-1.0
733300,-0.98
733400,-0.98
733500,-0.9
733600,-0.98
733700,-1.0
733800,-0.96
733900,-0.96
734000,-0.96
734100,-0.96
734200,-0.96
734300,-0.98
734400,-1.0
734500,-0.96
734600,-0.98
734700,-0.94
734800,-1.0
734900,-1.0
735000,-1.0
735100,-0.98
735200,-0.98
735300,-0.98
735400,-0.94
735500,-1.0
735600,-0.92
735700,-0.98
735800,-1.0
735900,-1.0
736000,-0.98
736100,-0.98
736200,-0.96
736300,-0.98
736400,-1.0
736500,-0.96
736600,-1.0
736700,-0.92
736800,-0.94
736900,-0.96
737000,-0.92
737100,-0.94
737200,-0.98
737300,-1.0
737400,-0.98
737500,-0.98
737600,-1.0
737700,-0.88
737800,-1.0
737900,-0.98
738000,-0.98
738100,-1.0
738200,-1.0
738300,-0.96
738400,-0.98
738500,-0.96
738600,-0.98
738700,-0.98
738800,-0.96
738900,-1.0
739000,-0.96
739100,-1.0
739200,-0.98
739300,-1.0
739400,-0.98
739500,-0.98
739600,-0.98
739700,-1.0
739800,-1.0
739900,-1.0
740000,-0.96
740100,-0.98
740200,-0.92
740300,-0.98
740400,-0.98
740500,-0.98
740600,-0.98
740700,-1.0
740800,-0.98
740900,-0.98
741000,-1.0
741100,-0.92
741200,-0.98
741300,-0.9
741400,-0.96
741500,-0.9
741600,-0.96
741700,-1.0
741800,-0.98
741900,-0.96
742000,-0.96
742100,-0.98
742200,-0.96
742300,-0.96
742400,-0.9
742500,-0.96
742600,-1.0
742700,-1.0
742800,-0.98
742900,-0.94
743000,-1.0
743100,-0.96
743200,-0.96
743300,-1.0
743400,-0.96
743500,-0.98
743600,-1.0
743700,-1.0
743800,-0.98
743900,-0.98
744000,-1.0
744100,-0.94
744200,-0.94
744300,-0.98
744400,-0.94
744500,-1.0
744600,-0.98
744700,-0.92
744800,-0.96
744900,-0.94
745000,-0.98
745100,-0.96
745200,-0.96
745300,-1.0
745400,-0.94
745500,-0.98
745600,-0.98
745700,-0.92
745800,-1.0
745900,-0.96
746000,-0.94
746100,-0.96
746200,-0.94
746300,-0.92
746400,-1.0
746500,-1.0
746600,-0.92
746700,-1.0
746800,-1.0
746900,-0.94
747000,-0.98
747100,-0.96
747200,-0.96
747300,-1.0
747400,-0.98
747500,-0.94
747600,-1.0
747700,-1.0
747800,-0.98
747900,-1.0
748000,-0.86
748100,-0.96
748200,-1.0
748300,-0.98
748400,-1.0
748500,-1.0
748600,-1.0
748700,-1.0
748800,-1.0
748900,-0.98
749000,-0.96
749100,-1.0
749200,-1.0
749300,-0.96
749400,-0.98
749500,-0.98
749600,-0.96
749700,-0.94
749800,-0.94
749900,-0.96
750000,-1.0
750100,-1.0
750200,-0.96
750300,-0.98
750400,-1.0
750500,-1.0
750600,-0.96
750700,-0.96
750800,-0.98
750900,-0.98
751000,-0.98
751100,-1.0
751200,-0.98
751300,-0.98
751400,-1.0
751500,-1.0
751600,-0.96
751700,-0.96
751800,-0.96
751900,-1.0
752000,-0.98
752100,-1.0
752200,-0.94
752300,-0.8
752400,-0.96
752500,-0.96
752600,-1.0
752700,-0.88
752800,-0.86
752900,-0.98
753000,-0.96
753100,-1.0
753200,-0.98
753300,-0.9
753400,-0.96
753500,-0.96
753600,-1.0
753700,-0.96
753800,-0.98
753900,-0.94
754000,-1.0
754100,-0.92
754200,-1.0
754300,-0.98
754400,-0.98
754500,-0.98
754600,-0.98
754700,-0.98
754800,-1.0
754900,-1.0
755000,-1.0
755100,-0.98
755200,-1.0
755300,-0.98
755400,-1.0
755500,-0.98
755600,-0.98
755700,-1.0
755800,-1.0
755900,-1.0
756000,-1.0
756100,-0.96
756200,-0.9
756300,-1.0
756400,-0.98
756500,-1.0
756600,-1.0
756700,-0.96
756800,-0.96
756900,-1.0
757000,-0.96
757100,-0.98
757200,-0.96
757300,-0.96
757400,-0.9
757500,-0.92
757600,-1.0
757700,-1.0
757800,-0.96
757900,-1.0
758000,-0.98
758100,-1.0
758200,-0.98
758300,-0.94
758400,-1.0
758500,-1.0
758600,-1.0
758700,-1.0
758800,-0.98
758900,-1.0
759000,-1.0
759100,-1.0
759200,-0.88
759300,-1.0
759400,-0.98
759500,-0.94
759600,-0.94
759700,-0.98
759800,-1.0
759900,-0.98
760000,-0.94
760100,-1.0
760200,-0.96
760300,-1.0
760400,-0.94
760500,-1.0
760600,-1.0
760700,-0.98
760800,-0.86
760900,-1.0
761000,-0.96
761100,-1.0
761200,-0.9
761300,-1.0
761400,-1.0
761500,-0.94
761600,-0.98
761700,-0.96
761800,-0.92
761900,-0.96
762000,-0.96
762100,-0.98
762200,-0.96
762300,-0.96
762400,-1.0
762500,-1.0
762600,-1.0
762700,-0.98
762800,-0.94
762900,-0.98
763000,-0.98
763100,-1.0
763200,-0.96
763300,-1.0
763400,-1.0
763500,-0.94
763600,-0.98
763700,-0.88
763800,-0.96
763900,-0.96
764000,-0.98
764100,-1.0
764200,-1.0
764300,-0.98
764400,-0.94
764500,-0.94
764600,-1.0
764700,-0.96
764800,-0.92
764900,-1.0
765000,-0.94
765100,-1.0
765200,-0.9
765300,-0.88
765400,-0.96
765500,-0.92
765600,-0.94
765700,-0.96
765800,-1.0
765900,-0.94
766000,-1.0
766100,-0.88
766200,-0.98
766300,-0.98
766400,-1.0
766500,-0.98
766600,-0.94
766700,-1.0
766800,-0.98
766900,-0.96
767000,-1.0
767100,-0.98
767200,-0.98
767300,-0.98
767400,-0.98
767500,-1.0
767600,-1.0
767700,-0.94
767800,-1.0
767900,-0.98
768000,-0.98
768100,-0.92
768200,-1.0
768300,-0.98
768400,-1.0
768500,-0.98
768600,-1.0
768700,-0.88
768800,-0.94
768900,-0.98
769000,-0.98
769100,-0.96
769200,-0.98
769300,-0.98
769400,-0.96
769500,-0.96
769600,-0.98
769700,-1.0
769800,-1.0
769900,-0.98
770000,-1.0
770100,-1.0
770200,-0.98
770300,-1.0
770400,-0.98
770500,-0.98
770600,-0.9
770700,-0.9
770800,-0.98
770900,-1.0
771000,-0.98
771100,-0.98
771200,-1.0
771300,-1.0
771400,-1.0
771500,-1.0
771600,-0.96
771700,-1.0
771800,-0.98
771900,-1.0
772000,-0.96
772100,-0.98
772200,-0.98
772300,-0.98
772400,-0.98
772500,-0.96
772600,-1.0
772700,-0.96
772800,-0.98
772900,-1.0
773000,-0.94
773100,-0.98
773200,-0.96
773300,-0.9
773400,-1.0
773500,-0.98
773600,-1.0
773700,-1.0
773800,-0.98
773900,-1.0
774000,-0.98
774100,-1.0
774200,-0.96
774300,-0.96
774400,-1.0
774500,-0.98
774600,-0.96
774700,-0.96
774800,-1.0
774900,-0.98
775000,-0.96
775100,-0.92
775200,-0.98
775300,-0.98
775400,-0.98
775500,-0.94
775600,-0.94
775700,-0.96
775800,-0.92
775900,-0.98
776000,-0.98
776100,-0.86
776200,-1.0
776300,-0.96
776400,-0.96
776500,-1.0
776600,-0.96
776700,-0.94
776800,-1.0
776900,-1.0
777000,-1.0
777100,-0.9
777200,-0.96
777300,-0.98
777400,-0.96
777500,-0.86
777600,-0.98
777700,-1.0
777800,-0.96
777900,-0.98
778000,-0.98
778100,-0.98
778200,-1.0
778300,-0.96
778400,-0.96
778500,-0.9
778600,-0.9
778700,-0.98
778800,-0.96
778900,-1.0
779000,-0.98
779100,-0.98
779200,-1.0
779300,-0.84
779400,-0.98
779500,-0.96
779600,-0.96
779700,-0.92
779800,-0.94
779900,-1.0
780000,-1.0
780100,-0.94
780200,-0.98
780300,-0.98
780400,-0.98
780500,-0.98
780600,-0.98
780700,-0.94
780800,-1.0
780900,-0.98
781000,-0.96
781100,-0.98
781200,-1.0
781300,-1.0
781400,-0.98
781500,-0.98
781600,-0.94
781700,-1.0
781800,-1.0
781900,-0.94
782000,-0.96
782100,-0.98
782200,-0.96
782300,-1.0
782400,-0.94
782500,-0.98
782600,-0.94
782700,-0.98
782800,-0.94
782900,-1.0
783000,-1.0
783100,-1.0
783200,-0.96
783300,-0.98
783400,-1.0
783500,-1.0
783600,-1.0
783700,-0.98
783800,-0.98
783900,-0.98
784000,-0.98
784100,-1.0
784200,-0.96
784300,-0.94
784400,-1.0
784500,-0.96
784600,-0.92
784700,-0.84
784800,-0.98
784900,-0.96
785000,-0.94
785100,-0.98
785200,-1.0
785300,-0.94
785400,-0.96
785500,-1.0
785600,-0.98
785700,-1.0
785800,-0.96
785900,-0.88
786000,-0.96
786100,-0.96
786200,-0.98
786300,-1.0
786400,-0.98
786500,-0.98
786600,-0.98
786700,-0.98
786800,-0.98
786900,-0.98
787000,-0.98
787100,-1.0
787200,-1.0
787300,-1.0
787400,-0.96
787500,-1.0
787600,-1.0
787700,-0.96
787800,-0.98
787900,-0.96
788000,-0.92
788100,-0.96
788200,-1.0
788300,-0.96
788400,-1.0
788500,-1.0
788600,-0.96
788700,-0.92
788800,-0.96
788900,-0.98
789000,-0.94
789100,-0.96
789200,-0.96
789300,-0.96
789400,-1.0
789500,-0.98
789600,-0.88
789700,-0.98
789800,-1.0
789900,-0.96
790000,-0.98
790100,-0.98
790200,-1.0
790300,-1.0
790400,-0.94
790500,-1.0
790600,-0.98
790700,-0.98
790800,-0.94
790900,-0.96
791000,-1.0
791100,-0.98
791200,-0.96
791300,-0.98
791400,-1.0
791500,-0.98
791600,-0.96
791700,-1.0
791800,-1.0
791900,-0.96
792000,-0.96
792100,-0.98
792200,-0.98
792300,-0.92
792400,-0.96
792500,-1.0
792600,-0.94
792700,-1.0
792800,-1.0
792900,-1.0
793000,-0.98
793100,-1.0
793200,-0.94
793300,-0.96
793400,-0.98
793500,-0.9
793600,-1.0
793700,-1.0
793800,-0.98
793900,-0.86
794000,-0.96
794100,-0.98
794200,-1.0
794300,-0.98
794400,-0.98
794500,-0.96
794600,-0.98
794700,-1.0
794800,-1.0
794900,-0.96
795000,-0.8
795100,-1.0
795200,-0.98
795300,-0.86
795400,-1.0
795500,-0.98
795600,-0.98
795700,-0.98
795800,-0.84
795900,-0.98
796000,-0.98
796100,-0.96
796200,-1.0
796300,-0.98
796400,-0.9
796500,-1.0
796600,-1.0
796700,-1.0
796800,-0.98
796900,-1.0
797000,-0.98
797100,-0.98
797200,-0.96
797300,-1.0
797400,-0.92
797500,-0.94
797600,-0.96
797700,-0.98
797800,-0.92
797900,-0.98
798000,-0.98
798100,-0.94
798200,-1.0
798300,-0.94
798400,-1.0
798500,-0.94
798600,-1.0
798700,-0.98
798800,-0.98
798900,-1.0
799000,-0.98
799100,-1.0
799200,-0.96
799300,-0.96
799400,-1.0
799500,-1.0
799600,-0.96
799700,-0.96
799800,-0.98
799900,-0.96
800000,-1.0
800100,-0.98
800200,-1.0
800300,-0.96
800400,-0.94
800500,-0.94
800600,-0.98
800700,-0.98
800800,-1.0
800900,-0.98
801000,-0.98
801100,-0.94
801200,-0.96
801300,-1.0
801400,-1.0
801500,-0.98
801600,-1.0
801700,-1.0
801800,-0.98
801900,-1.0
802000,-0.96
802100,-0.96
802200,-0.96
802300,-0.98
802400,-1.0
802500,-1.0
802600,-1.0
802700,-0.92
802800,-0.98
802900,-1.0
803000,-1.0
803100,-0.96
803200,-0.94
803300,-0.94
803400,-0.98
803500,-0.96
803600,-0.96
803700,-0.96
803800,-0.96
803900,-1.0
804000,-1.0
804100,-0.96
804200,-0.9
804300,-1.0
804400,-1.0
804500,-0.98
804600,-0.96
804700,-0.98
804800,-1.0
804900,-1.0
805000,-0.98
805100,-1.0
805200,-0.94
805300,-0.98
805400,-1.0
805500,-0.96
805600,-0.88
