 T,b,L
   1.814000     ,  0.6638645     ,          10
   1.828000     ,  0.6637626     ,          10
   1.842000     ,  0.6631538     ,          10
   1.856000     ,  0.6631076     ,          10
   1.870000     ,  0.6622758     ,          10
   1.884000     ,  0.6621720     ,          10
   1.898000     ,  0.6616822     ,          10
   1.912000     ,  0.6614533     ,          10
   1.926000     ,  0.6613411     ,          10
   1.940000     ,  0.6605982     ,          10
   1.954000     ,  0.6594200     ,          10
   1.968000     ,  0.6595348     ,          10
   1.982000     ,  0.6587158     ,          10
   1.996000     ,  0.6586233     ,          10
   2.010000     ,  0.6563876     ,          10
   2.024000     ,  0.6566635     ,          10
   2.038000     ,  0.6545894     ,          10
   2.052000     ,  0.6539979     ,          10
   2.066000     ,  0.6521459     ,          10
   2.080000     ,  0.6518081     ,          10
   2.094000     ,  0.6503839     ,          10
   2.108000     ,  0.6476908     ,          10
   2.122000     ,  0.6464209     ,          10
   2.136000     ,  0.6440270     ,          10
   2.150000     ,  0.6430173     ,          10
   2.164000     ,  0.6383276     ,          10
   2.178000     ,  0.6358806     ,          10
   2.192000     ,  0.6330063     ,          10
   2.206000     ,  0.6288388     ,          10
   2.220000     ,  0.6250913     ,          10
   2.234000     ,  0.6228148     ,          10
   2.248000     ,  0.6176294     ,          10
   2.262000     ,  0.6137386     ,          10
   2.276000     ,  0.6106558     ,          10
   2.290000     ,  0.6080854     ,          10
   2.304000     ,  0.6000825     ,          10
   2.318000     ,  0.5942782     ,          10
   2.332000     ,  0.5860099     ,          10
   2.346000     ,  0.5800666     ,          10
   2.360000     ,  0.5762150     ,          10
   2.374000     ,  0.5670736     ,          10
   2.388000     ,  0.5575657     ,          10
   2.402000     ,  0.5535091     ,          10
   2.416000     ,  0.5437431     ,          10
   2.430000     ,  0.5330070     ,          10
   2.444000     ,  0.5305033     ,          10
   2.458000     ,  0.5150882     ,          10
   2.472000     ,  0.5133806     ,          10
   2.486000     ,  0.4981607     ,          10
   2.500000     ,  0.4870335     ,          10
