 T,b,L
   1.814000     ,  0.6665416     ,          50
   1.828000     ,  0.6665266     ,          50
   1.842000     ,  0.6665201     ,          50
   1.856000     ,  0.6665038     ,          50
   1.870000     ,  0.6664925     ,          50
   1.884000     ,  0.6664712     ,          50
   1.898000     ,  0.6664535     ,          50
   1.912000     ,  0.6664318     ,          50
   1.926000     ,  0.6664038     ,          50
   1.940000     ,  0.6663749     ,          50
   1.954000     ,  0.6663239     ,          50
   1.968000     ,  0.6663077     ,          50
   1.982000     ,  0.6662281     ,          50
   1.996000     ,  0.6661944     ,          50
   2.010000     ,  0.6661266     ,          50
   2.024000     ,  0.6660694     ,          50
   2.038000     ,  0.6659769     ,          50
   2.052000     ,  0.6658559     ,          50
   2.066000     ,  0.6657900     ,          50
   2.080000     ,  0.6656057     ,          50
   2.094000     ,  0.6654315     ,          50
   2.108000     ,  0.6652192     ,          50
   2.122000     ,  0.6648340     ,          50
   2.136000     ,  0.6644733     ,          50
   2.150000     ,  0.6637901     ,          50
   2.164000     ,  0.6632341     ,          50
   2.178000     ,  0.6616707     ,          50
   2.192000     ,  0.6599187     ,          50
   2.206000     ,  0.6585152     ,          50
   2.220000     ,  0.6540070     ,          50
   2.234000     ,  0.6485618     ,          50
   2.248000     ,  0.6347960     ,          50
   2.262000     ,  0.6219149     ,          50
   2.276000     ,  0.6021878     ,          50
   2.290000     ,  0.5652992     ,          50
   2.304000     ,  0.5168467     ,          50
   2.318000     ,  0.4742685     ,          50
   2.332000     ,  0.4127849     ,          50
   2.346000     ,  0.3630902     ,          50
   2.360000     ,  0.3075901     ,          50
   2.374000     ,  0.2546628     ,          50
   2.388000     ,  0.2236639     ,          50
   2.402000     ,  0.1880438     ,          50
   2.416000     ,  0.1583350     ,          50
   2.430000     ,  0.1331701     ,          50
   2.444000     ,  8.9097440E-02 ,          50
   2.458000     ,  9.7937942E-02 ,          50
   2.472000     ,  0.1142089     ,          50
   2.486000     ,  8.9672685E-02 ,          50
   2.500000     ,  7.3251486E-02 ,          50
