 T,m,L
   1.54999995     ,  0.983369946     ,          50
   1.60000002     ,  0.979496896     ,          50
   1.64999998     ,  0.975265026     ,          50
   1.70000005     ,  0.970081866     ,          50
   1.75000000     ,  0.964108050     ,          50
   1.79999995     ,  0.956734717     ,          50
   1.85000002     ,  0.948705971     ,          50
   1.89999998     ,  0.938248754     ,          50
   1.95000005     ,  0.925941944     ,          50
   2.00000000     ,  0.911187708     ,          50
   2.02333331     ,  0.902840137     ,          50
   2.04666662     ,  0.894491911     ,          50
   2.06999993     ,  0.883866012     ,          50
   2.09333324     ,  0.872018754     ,          50
   2.11666679     ,  0.859160006     ,          50
   2.14000010     ,  0.843050063     ,          50
   2.16333342     ,  0.825031102     ,          50
   2.18666673     ,  0.801884234     ,          50
   2.21000004     ,  0.771601081     ,          50
   2.23333335     ,  0.729043305     ,          50
   2.25666666     ,  0.666456461     ,          50
   2.27999997     ,  0.579235375     ,          50
   2.30333328     ,  0.472086161     ,          50
   2.32666659     ,  0.380754590     ,          50
   2.34999990     ,  0.298409790     ,          50
   2.37333345     ,  0.249322250     ,          50
   2.39666677     ,  0.213322744     ,          50
   2.42000008     ,  0.178683579     ,          50
   2.44333339     ,  0.158801615     ,          50
   2.46666670     ,  0.144860670     ,          50
   2.49000001     ,  0.133330554     ,          50
   2.51333332     ,  0.120470911     ,          50
   2.53666663     ,  0.112714045     ,          50
   2.55999994     ,  0.106855243     ,          50
   2.58333349     ,   9.85211879E-02 ,          50
   2.60666680     ,   9.52931568E-02 ,          50
   2.63000011     ,   8.93962979E-02 ,          50
   2.65333343     ,   8.38579088E-02 ,          50
   2.67666674     ,   8.27734992E-02 ,          50
   2.70000005     ,   7.94098973E-02 ,          50
   2.70000005     ,   7.73803145E-02 ,          50
   2.77999997     ,   7.05962777E-02 ,          50
   2.86000013     ,   6.26591519E-02 ,          50
   2.94000006     ,   5.83574884E-02 ,          50
   3.01999998     ,   5.25576100E-02 ,          50
   3.09999990     ,   4.91767749E-02 ,          50
   3.18000007     ,   4.70077358E-02 ,          50
   3.25999999     ,   4.46562059E-02 ,          50
   3.34000015     ,   4.31805998E-02 ,          50
   3.42000008     ,   4.19154763E-02 ,          50
