 T,e,L
   1.54999995     ,  -1.94034207     ,          50
   1.60000002     ,  -1.92786896     ,          50
   1.64999998     ,  -1.91480160     ,          50
   1.70000005     ,  -1.89831662     ,          50
   1.75000000     ,  -1.87993085     ,          50
   1.79999995     ,  -1.85906100     ,          50
   1.85000002     ,  -1.83587849     ,          50
   1.89999998     ,  -1.80911744     ,          50
   1.95000005     ,  -1.78046930     ,          50
   2.00000000     ,  -1.74572623     ,          50
   2.02333331     ,  -1.72770560     ,          50
   2.04666662     ,  -1.71003675     ,          50
   2.06999993     ,  -1.69011486     ,          50
   2.09333324     ,  -1.66848314     ,          50
   2.11666679     ,  -1.64601588     ,          50
   2.14000010     ,  -1.62052691     ,          50
   2.16333342     ,  -1.59410584     ,          50
   2.18666673     ,  -1.56482840     ,          50
   2.21000004     ,  -1.53326845     ,          50
   2.23333335     ,  -1.49501276     ,          50
   2.25666666     ,  -1.45084035     ,          50
   2.27999997     ,  -1.40333855     ,          50
   2.30333328     ,  -1.35578477     ,          50
   2.32666659     ,  -1.31084979     ,          50
   2.34999990     ,  -1.27299082     ,          50
   2.37333345     ,  -1.23842800     ,          50
   2.39666677     ,  -1.20974398     ,          50
   2.42000008     ,  -1.18325770     ,          50
   2.44333339     ,  -1.15818024     ,          50
   2.46666670     ,  -1.13503242     ,          50
   2.49000001     ,  -1.11574697     ,          50
   2.51333332     ,  -1.09607363     ,          50
   2.53666663     ,  -1.07546115     ,          50
   2.55999994     ,  -1.05744207     ,          50
   2.58333349     ,  -1.04061365     ,          50
   2.60666680     ,  -1.02413154     ,          50
   2.63000011     ,  -1.00837624     ,          50
   2.65333343     , -0.991872787     ,          50
   2.67666674     , -0.976684332     ,          50
   2.70000005     , -0.963041067     ,          50
   2.70000005     , -0.963374913     ,          50
   2.77999997     , -0.917836368     ,          50
   2.86000013     , -0.878258109     ,          50
   2.94000006     , -0.842133701     ,          50
   3.01999998     , -0.809102654     ,          50
   3.09999990     , -0.778190076     ,          50
   3.18000007     , -0.752050340     ,          50
   3.25999999     , -0.726546586     ,          50
   3.34000015     , -0.702278495     ,          50
   3.42000008     , -0.681267917     ,          50
