 T,e,L
   1.57000005     ,  -1.93586206     ,         100
   1.63999999     ,  -1.91714644     ,         100
   1.71000004     ,  -1.89470792     ,         100
   1.77999997     ,  -1.86791921     ,         100
   1.85000002     ,  -1.83610821     ,         100
   1.92000008     ,  -1.79821360     ,         100
   1.99000001     ,  -1.75281608     ,         100
   2.05999994     ,  -1.69801629     ,         100
   2.13000011     ,  -1.63141453     ,         100
   2.20000005     ,  -1.54590476     ,         100
   2.21000004     ,  -1.53182364     ,         100
   2.22000003     ,  -1.51528108     ,         100
   2.23000002     ,  -1.50062859     ,         100
   2.24000001     ,  -1.48330057     ,         100
   2.25000000     ,  -1.46230340     ,         100
   2.25999999     ,  -1.44003236     ,         100
   2.26999998     ,  -1.41842008     ,         100
   2.27999997     ,  -1.39420319     ,         100
   2.28999996     ,  -1.36937940     ,         100
   2.29999995     ,  -1.34703064     ,         100
   2.30999994     ,  -1.32833028     ,         100
   2.31999993     ,  -1.31075537     ,         100
   2.32999992     ,  -1.29405713     ,         100
   2.34000015     ,  -1.28009880     ,         100
   2.34999990     ,  -1.26540649     ,         100
   2.36000013     ,  -1.25219131     ,         100
   2.37000012     ,  -1.23939669     ,         100
   2.38000011     ,  -1.22730112     ,         100
   2.39000010     ,  -1.21576655     ,         100
   2.40000010     ,  -1.20516789     ,         100
   2.41000009     ,  -1.19232702     ,         100
   2.42000008     ,  -1.18298817     ,         100
   2.43000007     ,  -1.17225146     ,         100
   2.44000006     ,  -1.16191053     ,         100
   2.45000005     ,  -1.15086544     ,         100
   2.46000004     ,  -1.14183855     ,         100
   2.47000003     ,  -1.13298881     ,         100
   2.48000002     ,  -1.12343633     ,         100
   2.49000001     ,  -1.11528587     ,         100
   2.50000000     ,  -1.10606122     ,         100
   2.59999990     ,  -1.02808654     ,         100
   2.70000005     , -0.963688433     ,         100
   2.79999995     , -0.908303082     ,         100
   2.90000010     , -0.859937608     ,         100
   3.00000000     , -0.817558885     ,         100
   3.09999990     , -0.779549599     ,         100
   3.20000005     , -0.745192230     ,         100
   3.29999995     , -0.714141965     ,         100
   3.40000010     , -0.686248660     ,         100
   3.50000000     , -0.660009503     ,         100
