 T,m,L
   1.570000     ,  7.4790545E-02 ,         100
   1.640000     ,  4.3249711E-02 ,         100
   1.710000     ,  8.3307073E-02 ,         100
   1.780000     ,  9.9452697E-02 ,         100
   1.850000     ,  0.1646377     ,         100
   1.920000     ,  0.2269323     ,         100
   1.990000     ,  0.3741015     ,         100
   2.060000     ,  0.6385799     ,         100
   2.130000     ,   1.372306     ,         100
   2.200000     ,   4.516407     ,         100
   2.210000     ,   6.137121     ,         100
   2.220000     ,   8.882971     ,         100
   2.230000     ,   17.70071     ,         100
   2.240000     ,   20.55269     ,         100
   2.250000     ,   41.37185     ,         100
   2.260000     ,   74.84985     ,         100
   2.270000     ,   103.5095     ,         100
   2.280000     ,   132.7478     ,         100
   2.290000     ,   151.8607     ,         100
   2.300000     ,   147.5741     ,         100
   2.310000     ,   117.1221     ,         100
   2.320000     ,   93.12341     ,         100
   2.330000     ,   79.06996     ,         100
   2.340000     ,   62.00530     ,         100
   2.350000     ,   51.99891     ,         100
   2.360000     ,   44.21778     ,         100
   2.370000     ,   35.03888     ,         100
   2.380000     ,   29.60697     ,         100
   2.390000     ,   25.57827     ,         100
   2.400000     ,   22.90462     ,         100
   2.410000     ,   19.89329     ,         100
   2.420000     ,   18.03566     ,         100
   2.430000     ,   17.24472     ,         100
   2.440000     ,   14.73480     ,         100
   2.450000     ,   13.82520     ,         100
   2.460000     ,   12.40864     ,         100
   2.470000     ,   11.29802     ,         100
   2.480000     ,   10.53898     ,         100
   2.490000     ,   9.693104     ,         100
   2.500000     ,   8.958751     ,         100
   2.600000     ,   5.105552     ,         100
   2.700000     ,   3.359708     ,         100
   2.800000     ,   2.352765     ,         100
   2.900000     ,   1.772498     ,         100
   3.000000     ,   1.427932     ,         100
   3.100000     ,   1.124060     ,         100
   3.200000     ,  0.9637622     ,         100
   3.300000     ,  0.8473941     ,         100
   3.400000     ,  0.7061037     ,         100
   3.500000     ,  0.6387191     ,         100
