 MCS,m,L
      210000 ,  0.9800000     ,          10
      211000 ,  0.9800000     ,          10
      212000 ,  0.9800000     ,          10
      213000 ,  0.9400000     ,          10
      214000 ,  0.9600000     ,          10
      215000 ,  0.9800000     ,          10
      216000 ,  0.9800000     ,          10
      217000 ,   1.000000     ,          10
      218000 ,   1.000000     ,          10
      219000 ,   1.000000     ,          10
      220000 ,  0.9800000     ,          10
      221000 ,  0.9000000     ,          10
      222000 ,   1.000000     ,          10
      223000 ,  0.9800000     ,          10
      224000 ,   1.000000     ,          10
      225000 ,  0.9800000     ,          10
      226000 ,  0.9400000     ,          10
      227000 ,  0.9600000     ,          10
      228000 ,   1.000000     ,          10
      229000 ,  0.9400000     ,          10
      230000 ,   1.000000     ,          10
      231000 ,  0.9600000     ,          10
      232000 ,  0.9600000     ,          10
      233000 ,  0.9600000     ,          10
      234000 ,  0.9800000     ,          10
      235000 ,  0.9800000     ,          10
      236000 ,   1.000000     ,          10
      237000 ,  0.9600000     ,          10
      238000 ,  0.9600000     ,          10
      239000 ,  0.9400000     ,          10
      240000 ,  0.9600000     ,          10
      241000 ,  0.9800000     ,          10
      242000 ,   1.000000     ,          10
      243000 ,  0.9800000     ,          10
      244000 ,  0.9800000     ,          10
      245000 ,  0.9400000     ,          10
      246000 ,  0.9800000     ,          10
      247000 ,  0.9600000     ,          10
      248000 ,   1.000000     ,          10
      249000 ,  0.9600000     ,          10
      250000 ,  0.9800000     ,          10
      251000 ,   1.000000     ,          10
      252000 ,  0.9800000     ,          10
      253000 ,   1.000000     ,          10
      254000 ,  0.9600000     ,          10
      255000 ,  0.9800000     ,          10
      256000 ,   1.000000     ,          10
      257000 ,  0.9800000     ,          10
      258000 ,  0.9800000     ,          10
      259000 ,  0.9400000     ,          10
      260000 ,  0.9800000     ,          10
      261000 ,  0.9800000     ,          10
      262000 ,  0.9800000     ,          10
      263000 ,   1.000000     ,          10
      264000 ,   1.000000     ,          10
      265000 ,  0.9600000     ,          10
      266000 ,  0.9600000     ,          10
      267000 ,  0.9800000     ,          10
      268000 ,   1.000000     ,          10
      269000 ,  0.9800000     ,          10
      270000 ,  0.9800000     ,          10
      271000 ,  0.9800000     ,          10
      272000 ,   1.000000     ,          10
      273000 ,  0.9400000     ,          10
      274000 ,  0.9400000     ,          10
      275000 ,   1.000000     ,          10
      276000 ,   1.000000     ,          10
      277000 ,  0.9400000     ,          10
      278000 ,  0.9400000     ,          10
      279000 ,  0.9800000     ,          10
      280000 ,  0.9800000     ,          10
      281000 ,  0.9800000     ,          10
      282000 ,  0.8000000     ,          10
      283000 ,   1.000000     ,          10
      284000 ,   1.000000     ,          10
      285000 ,   1.000000     ,          10
      286000 ,  0.9800000     ,          10
      287000 ,  0.9600000     ,          10
      288000 ,  0.9200000     ,          10
      289000 ,  0.9400000     ,          10
      290000 ,  0.9800000     ,          10
      291000 ,  0.9800000     ,          10
      292000 ,  0.9800000     ,          10
      293000 ,   1.000000     ,          10
      294000 ,   1.000000     ,          10
      295000 ,  0.9200000     ,          10
      296000 ,  0.9600000     ,          10
      297000 ,  0.9800000     ,          10
      298000 ,   1.000000     ,          10
      299000 ,  0.9400000     ,          10
      300000 ,   1.000000     ,          10
      301000 ,  0.9200000     ,          10
      302000 ,  0.9800000     ,          10
      303000 ,   1.000000     ,          10
      304000 ,  0.9800000     ,          10
      305000 ,  0.9400000     ,          10
      306000 ,  0.9800000     ,          10
      307000 ,  0.9600000     ,          10
      308000 ,  0.9800000     ,          10
      309000 ,  0.9800000     ,          10
      310000 ,  0.9600000     ,          10
      311000 ,  0.9800000     ,          10
      312000 ,  0.9400000     ,          10
      313000 ,   1.000000     ,          10
      314000 ,   1.000000     ,          10
