 T,m,L
   1.550000     ,  3.1340510E-02 ,          50
   1.600000     ,  4.7311187E-02 ,          50
   1.650000     ,  5.4547280E-02 ,          50
   1.700000     ,  7.2577417E-02 ,          50
   1.750000     ,  8.3020754E-02 ,          50
   1.800000     ,  0.1021557     ,          50
   1.850000     ,  0.1434539     ,          50
   1.900000     ,  0.1890095     ,          50
   1.950000     ,  0.2692143     ,          50
   2.000000     ,  0.3883988     ,          50
   2.023333     ,  0.4806913     ,          50
   2.046667     ,  0.5772865     ,          50
   2.070000     ,  0.6799105     ,          50
   2.093333     ,  0.9057439     ,          50
   2.116667     ,   1.098509     ,          50
   2.140000     ,   1.573674     ,          50
   2.163333     ,   2.110845     ,          50
   2.186667     ,   3.404892     ,          50
   2.210000     ,   6.776994     ,          50
   2.233333     ,   12.17543     ,          50
   2.256667     ,   21.06231     ,          50
   2.280000     ,   35.86507     ,          50
   2.303333     ,   45.70293     ,          50
   2.326667     ,   42.22664     ,          50
   2.350000     ,   36.02254     ,          50
   2.373333     ,   27.11907     ,          50
   2.396667     ,   21.91974     ,          50
   2.420000     ,   16.64662     ,          50
   2.443333     ,   14.07890     ,          50
   2.466667     ,   10.90679     ,          50
   2.490000     ,   9.373006     ,          50
   2.513333     ,   8.073403     ,          50
   2.536667     ,   6.520305     ,          50
   2.560000     ,   6.348371     ,          50
   2.583333     ,   5.307827     ,          50
   2.606667     ,   4.612531     ,          50
   2.630000     ,   4.220688     ,          50
   2.653333     ,   3.905173     ,          50
   2.676667     ,   3.473789     ,          50
   2.700000     ,   3.275274     ,          50
   2.700000     ,   3.243872     ,          50
   2.780000     ,   2.519773     ,          50
   2.860000     ,   1.992197     ,          50
   2.940000     ,   1.592235     ,          50
   3.020000     ,   1.297514     ,          50
   3.100000     ,   1.159168     ,          50
   3.180000     ,  0.9764527     ,          50
   3.260000     ,  0.8966178     ,          50
   3.340000     ,  0.7679750     ,          50
   3.420000     ,  0.7155423     ,          50
