 T,m,L
   1.53999996     ,  0.983407617     ,          10
   1.58000004     ,  0.981254518     ,          10
   1.62000000     ,  0.977453351     ,          10
   1.65999997     ,  0.973684669     ,          10
   1.70000005     ,  0.971040070     ,          10
   1.74000001     ,  0.965870917     ,          10
   1.77999997     ,  0.959685802     ,          10
   1.81999993     ,  0.954014480     ,          10
   1.86000001     ,  0.946550250     ,          10
   1.89999998     ,  0.938950598     ,          10
   1.94000006     ,  0.927397907     ,          10
   1.98000002     ,  0.920261085     ,          10
   2.01999998     ,  0.903392553     ,          10
   2.05999994     ,  0.888806403     ,          10
   2.09999990     ,  0.869492292     ,          10
   2.13999987     ,  0.850279927     ,          10
   2.18000007     ,  0.823381007     ,          10
   2.22000003     ,  0.798433185     ,          10
   2.25999999     ,  0.763642132     ,          10
   2.29999995     ,  0.724552333     ,          10
   2.33999991     ,  0.689552605     ,          10
   2.38000011     ,  0.654740691     ,          10
   2.42000008     ,  0.610354722     ,          10
   2.46000004     ,  0.579332471     ,          10
   2.50000000     ,  0.538405120     ,          10
   2.53999996     ,  0.499472946     ,          10
   2.57999992     ,  0.477013975     ,          10
   2.61999989     ,  0.438288957     ,          10
   2.65999985     ,  0.412969887     ,          10
   2.69999981     ,  0.389947325     ,          10
   2.74000001     ,  0.366763860     ,          10
   2.77999997     ,  0.348955393     ,          10
   2.81999993     ,  0.336500973     ,          10
   2.86000013     ,  0.313841969     ,          10
   2.90000010     ,  0.304787457     ,          10
   2.94000006     ,  0.290774584     ,          10
   2.98000002     ,  0.278540343     ,          10
   3.01999998     ,  0.272410184     ,          10
   3.05999994     ,  0.265195578     ,          10
   3.09999990     ,  0.254829109     ,          10
   3.13999987     ,  0.245259568     ,          10
   3.17999983     ,  0.238896042     ,          10
   3.21999979     ,  0.234776676     ,          10
   3.25999999     ,  0.226434454     ,          10
   3.29999995     ,  0.223090947     ,          10
   3.33999991     ,  0.217771977     ,          10
   3.38000011     ,  0.215372697     ,          10
   3.42000008     ,  0.209765568     ,          10
   3.46000004     ,  0.201903179     ,          10
   3.50000000     ,  0.199551374     ,          10
