 T,e,L
   1.540000     ,  0.2276450     ,          10
   1.580000     ,  0.2615798     ,          10
   1.620000     ,  0.2703743     ,          10
   1.660000     ,  0.3039974     ,          10
   1.700000     ,  0.3322610     ,          10
   1.740000     ,  0.3763294     ,          10
   1.780000     ,  0.4242209     ,          10
   1.820000     ,  0.4590940     ,          10
   1.860000     ,  0.5154927     ,          10
   1.900000     ,  0.5649455     ,          10
   1.940000     ,  0.6188909     ,          10
   1.980000     ,  0.6868221     ,          10
   2.020000     ,  0.7555651     ,          10
   2.060000     ,  0.8758824     ,          10
   2.100000     ,  0.9366985     ,          10
   2.140000     ,  0.9932467     ,          10
   2.180000     ,   1.099736     ,          10
   2.220000     ,   1.128956     ,          10
   2.260000     ,   1.259405     ,          10
   2.300000     ,   1.314453     ,          10
   2.340000     ,   1.308475     ,          10
   2.380000     ,   1.289475     ,          10
   2.420000     ,   1.233496     ,          10
   2.460000     ,   1.196186     ,          10
   2.500000     ,   1.107022     ,          10
   2.540000     ,   1.069169     ,          10
   2.580000     ,  0.9452179     ,          10
   2.620000     ,  0.8742116     ,          10
   2.660000     ,  0.7918692     ,          10
   2.700000     ,  0.7758502     ,          10
   2.740000     ,  0.6833570     ,          10
   2.780000     ,  0.6468280     ,          10
   2.820000     ,  0.5904505     ,          10
   2.860000     ,  0.5472701     ,          10
   2.900000     ,  0.5284573     ,          10
   2.940000     ,  0.4902121     ,          10
   2.980000     ,  0.4607260     ,          10
   3.020000     ,  0.4377860     ,          10
   3.060000     ,  0.4050253     ,          10
   3.100000     ,  0.3792523     ,          10
   3.140000     ,  0.3746770     ,          10
   3.180000     ,  0.3503357     ,          10
   3.220000     ,  0.3312231     ,          10
   3.260000     ,  0.3256037     ,          10
   3.300000     ,  0.3044274     ,          10
   3.340000     ,  0.2958843     ,          10
   3.380000     ,  0.2660334     ,          10
   3.420000     ,  0.2816985     ,          10
   3.460000     ,  0.2578486     ,          10
   3.500000     ,  0.2440278     ,          10
