 T,e,L
   1.570000     ,  0.3011887     ,         100
   1.640000     ,  0.2343843     ,         100
   1.710000     ,  0.3118908     ,         100
   1.780000     ,  0.3918697     ,         100
   1.850000     ,  0.5572535     ,         100
   1.920000     ,  0.6137153     ,         100
   1.990000     ,  0.7248302     ,         100
   2.060000     ,  0.8400415     ,         100
   2.130000     ,  0.9394960     ,         100
   2.200000     ,   1.402975     ,         100
   2.210000     ,   1.433877     ,         100
   2.220000     ,   1.565457     ,         100
   2.230000     ,   1.698807     ,         100
   2.240000     ,   1.895727     ,         100
   2.250000     ,   2.048632     ,         100
   2.260000     ,   2.337849     ,         100
   2.270000     ,   2.458887     ,         100
   2.280000     ,   2.425362     ,         100
   2.290000     ,   2.380122     ,         100
   2.300000     ,   2.139282     ,         100
   2.310000     ,   1.820656     ,         100
   2.320000     ,   1.638228     ,         100
   2.330000     ,   1.535486     ,         100
   2.340000     ,   1.495507     ,         100
   2.350000     ,   1.381693     ,         100
   2.360000     ,   1.293306     ,         100
   2.370000     ,   1.268173     ,         100
   2.380000     ,   1.231269     ,         100
   2.390000     ,   1.159083     ,         100
   2.400000     ,   1.161667     ,         100
   2.410000     ,   1.120917     ,         100
   2.420000     ,   1.058944     ,         100
   2.430000     ,   1.051330     ,         100
   2.440000     ,  0.9715130     ,         100
   2.450000     ,  0.9969180     ,         100
   2.460000     ,  0.9387270     ,         100
   2.470000     ,  0.9523841     ,         100
   2.480000     ,  0.9033559     ,         100
   2.490000     ,  0.8917276     ,         100
   2.500000     ,  0.8669440     ,         100
   2.600000     ,  0.7388166     ,         100
   2.700000     ,  0.6042250     ,         100
   2.800000     ,  0.5241837     ,         100
   2.900000     ,  0.4370987     ,         100
   3.000000     ,  0.3960444     ,         100
   3.100000     ,  0.3545890     ,         100
   3.200000     ,  0.3330859     ,         100
   3.300000     ,  0.2916070     ,         100
   3.400000     ,  0.2684429     ,         100
   3.500000     ,  0.2503837     ,         100
