 T,S, S2
  4.6666663E-02 ,  0.9290692     ,  0.9834146    
  9.3333326E-02 ,  0.8402469     ,  0.9664131    
  0.1400000     ,  0.8570312     ,  0.9497343    
  0.1866667     ,  0.8832900     ,  0.9329621    
  0.2333333     ,  0.7863492     ,  0.9130241    
  0.2800000     ,  0.7764135     ,  0.8956504    
  0.3266667     ,  0.7761302     ,  0.8787779    
  0.3733333     ,  0.7050164     ,  0.8566697    
  0.4200000     ,  0.2676062     ,  0.8386762    
  0.4666666     ,  0.7474312     ,  0.8155205    
  0.5133333     ,  0.3843513     ,  0.7961428    
  0.5599999     ,  0.6634156     ,  0.7709933    
  0.6066666     ,  0.6301239     ,  0.7486185    
  0.6533333     ,  0.5195943     ,  0.7061597    
  0.7000000     ,  0.4826086     ,  0.6687248    
  0.7200000     ,  0.4821842     ,  0.6533042    
  0.7400000     ,  0.3868544     ,  0.6258262    
  0.7600000     ,  0.4905944     ,  0.6223084    
  0.7800000     ,  0.5433857     ,  0.5807742    
  0.8000000     ,  0.4400709     ,  0.5372840    
  0.8200000     ,  0.2224224     ,  0.4679051    
  0.8400000     ,  0.3133244     ,  0.4088219    
  0.8600000     ,  0.1972161     ,  0.4235312    
  0.8800000     ,  8.7533452E-02 ,  0.2935675    
  0.9000000     ,  6.4226240E-02 ,  0.2828907    
  0.9200000     ,  0.1563357     ,  0.2771130    
  0.9400000     ,  1.4213825E-02 ,  0.2385655    
  0.9600000     ,  6.6101998E-02 ,  0.2603556    
  0.9800000     ,  5.1652277E-03 ,  0.2082525    
   1.000000     ,  2.3567514E-02 ,  0.2209473    
   1.033333     ,  5.6278873E-03 ,  0.1659359    
   1.066667     ,  7.2573118E-02 ,  0.1638919    
   1.100000     ,  1.5303188E-02 ,  0.1405748    
   1.133333     ,  1.7855596E-02 ,  0.1374005    
   1.166667     ,  2.3623988E-02 ,  0.1327225    
   1.200000     ,  4.9154453E-02 ,  0.1458805    
   1.233333     ,  2.5202706E-03 ,  0.1114430    
   1.266667     ,  1.2393725E-02 ,  0.1059474    
   1.300000     ,  6.3985549E-03 ,  0.1133733    
   1.333333     ,  9.8884376E-03 ,  9.7421803E-02
   1.366667     ,  1.6021065E-02 ,  0.1002324    
   1.400000     ,  4.2481711E-03 ,  0.1027491    
   1.433333     ,  2.4038117E-02 ,  0.1003323    
   1.466667     ,  2.2983362E-03 ,  9.1353066E-02
   1.500000     ,  9.9570211E-03 ,  8.5328229E-02
  0.0000000E+00 ,   1.000000     ,   1.000000    
  0.0000000E+00 ,   1.000000     ,   1.000000    
  0.0000000E+00 ,   1.000000     ,   1.000000    
  0.0000000E+00 ,   1.000000     ,   1.000000    
  0.0000000E+00 ,   1.000000     ,   1.000000    
