 MCS, m
       52900 ,   1.00000000    
       53000 ,  0.939999998    
       53100 ,  0.959999979    
       53200 ,  0.959999979    
       53300 ,   1.00000000    
       53400 ,  0.980000019    
       53500 ,   1.00000000    
       53600 ,   1.00000000    
       53700 ,   1.00000000    
       53800 ,   1.00000000    
       53900 ,  0.959999979    
       54000 ,  0.920000017    
       54100 ,  0.959999979    
       54200 ,  0.959999979    
       54300 ,  0.980000019    
       54400 ,   1.00000000    
       54500 ,  0.920000017    
       54600 ,  0.980000019    
       54700 ,   1.00000000    
       54800 ,  0.899999976    
       54900 ,  0.939999998    
       55000 ,   1.00000000    
       55100 ,   1.00000000    
       55200 ,  0.980000019    
       55300 ,  0.980000019    
       55400 ,   1.00000000    
       55500 ,  0.939999998    
       55600 ,  0.980000019    
       55700 ,   1.00000000    
       55800 ,   1.00000000    
       55900 ,  0.879999995    
       56000 ,  0.920000017    
       56100 ,   1.00000000    
       56200 ,   1.00000000    
       56300 ,  0.959999979    
       56400 ,  0.980000019    
       56500 ,  0.980000019    
       56600 ,  0.959999979    
       56700 ,  0.920000017    
       56800 ,   1.00000000    
       56900 ,  0.959999979    
       57000 ,   1.00000000    
       57100 ,   1.00000000    
       57200 ,  0.939999998    
       57300 ,  0.959999979    
       57400 ,  0.980000019    
       57500 ,  0.959999979    
       57600 ,  0.959999979    
       57700 ,   1.00000000    
       57800 ,  0.860000014    
       57900 ,   1.00000000    
       58000 ,   1.00000000    
       58100 ,  0.980000019    
       58200 ,  0.980000019    
       58300 ,  0.980000019    
       58400 ,  0.980000019    
       58500 ,  0.980000019    
       58600 ,   1.00000000    
       58700 ,  0.980000019    
       58800 ,  0.959999979    
       58900 ,  0.959999979    
       59000 ,   1.00000000    
       59100 ,   1.00000000    
       59200 ,   1.00000000    
       59300 ,   1.00000000    
       59400 ,  0.980000019    
       59500 ,  0.980000019    
       59600 ,  0.980000019    
       59700 ,  0.980000019    
       59800 ,  0.980000019    
       59900 ,  0.980000019    
       60000 ,   1.00000000    
       60100 ,   1.00000000    
       60200 ,   1.00000000    
       60300 ,  0.959999979    
       60400 ,  0.959999979    
       60500 ,  0.839999974    
       60600 ,   1.00000000    
       60700 ,  0.980000019    
       60800 ,  0.980000019    
       60900 ,   1.00000000    
       61000 ,  0.959999979    
       61100 ,   1.00000000    
       61200 ,   1.00000000    
       61300 ,   1.00000000    
       61400 ,   1.00000000    
       61500 ,  0.980000019    
       61600 ,  0.980000019    
       61700 ,  0.980000019    
       61800 ,   1.00000000    
       61900 ,   1.00000000    
       62000 ,  0.939999998    
       62100 ,  0.959999979    
       62200 ,  0.980000019    
       62300 ,   1.00000000    
       62400 ,   1.00000000    
       62500 ,  0.980000019    
       62600 ,   1.00000000    
       62700 ,   1.00000000    
       62800 ,  0.959999979    
       62900 ,  0.980000019    
       63000 ,  0.980000019    
       63100 ,  0.939999998    
       63200 ,  0.879999995    
       63300 ,   1.00000000    
       63400 ,   1.00000000    
       63500 ,  0.980000019    
       63600 ,  0.980000019    
       63700 ,  0.959999979    
       63800 ,  0.879999995    
       63900 ,  0.939999998    
       64000 ,   1.00000000    
       64100 ,  0.980000019    
       64200 ,   1.00000000    
       64300 ,  0.939999998    
       64400 ,  0.959999979    
       64500 ,  0.920000017    
       64600 ,  0.920000017    
       64700 ,  0.980000019    
       64800 ,  0.980000019    
       64900 ,  0.980000019    
       65000 ,   1.00000000    
       65100 ,   1.00000000    
       65200 ,  0.939999998    
       65300 ,  0.959999979    
       65400 ,  0.980000019    
       65500 ,  0.959999979    
       65600 ,  0.920000017    
       65700 ,  0.980000019    
       65800 ,   1.00000000    
       65900 ,   1.00000000    
       66000 ,  0.980000019    
       66100 ,   1.00000000    
       66200 ,  0.980000019    
       66300 ,   1.00000000    
       66400 ,  0.860000014    
       66500 ,  0.980000019    
       66600 ,  0.980000019    
       66700 ,   1.00000000    
       66800 ,  0.980000019    
       66900 ,  0.980000019    
       67000 ,   1.00000000    
       67100 ,   1.00000000    
       67200 ,  0.879999995    
       67300 ,  0.959999979    
       67400 ,   1.00000000    
       67500 ,   1.00000000    
       67600 ,  0.959999979    
       67700 ,   1.00000000    
       67800 ,  0.879999995    
       67900 ,   1.00000000    
       68000 ,  0.980000019    
       68100 ,   1.00000000    
       68200 ,  0.980000019    
       68300 ,   1.00000000    
       68400 ,  0.959999979    
       68500 ,   1.00000000    
       68600 ,  0.980000019    
       68700 ,   1.00000000    
       68800 ,  0.980000019    
       68900 ,  0.980000019    
       69000 ,  0.980000019    
       69100 ,  0.980000019    
       69200 ,  0.980000019    
       69300 ,  0.899999976    
       69400 ,  0.939999998    
       69500 ,   1.00000000    
       69600 ,   1.00000000    
       69700 ,  0.980000019    
       69800 ,   1.00000000    
       69900 ,  0.980000019    
       70000 ,  0.980000019    
       70100 ,  0.980000019    
       70200 ,  0.980000019    
       70300 ,  0.939999998    
       70400 ,  0.980000019    
       70500 ,  0.980000019    
       70600 ,  0.939999998    
       70700 ,  0.980000019    
       70800 ,   1.00000000    
       70900 ,   1.00000000    
       71000 ,  0.980000019    
       71100 ,  0.879999995    
       71200 ,   1.00000000    
       71300 ,   1.00000000    
       71400 ,  0.980000019    
       71500 ,  0.980000019    
       71600 ,  0.959999979    
       71700 ,   1.00000000    
       71800 ,   1.00000000    
       71900 ,  0.980000019    
       72000 ,  0.980000019    
       72100 ,  0.899999976    
       72200 ,  0.939999998    
       72300 ,  0.980000019    
       72400 ,   1.00000000    
       72500 ,  0.980000019    
       72600 ,  0.980000019    
       72700 ,  0.980000019    
       72800 ,  0.959999979    
       72900 ,  0.839999974    
       73000 ,  0.980000019    
       73100 ,   1.00000000    
       73200 ,   1.00000000    
       73300 ,  0.959999979    
       73400 ,  0.959999979    
       73500 ,  0.959999979    
       73600 ,  0.959999979    
       73700 ,  0.920000017    
       73800 ,   1.00000000    
       73900 ,   1.00000000    
       74000 ,  0.959999979    
       74100 ,   1.00000000    
       74200 ,   1.00000000    
       74300 ,  0.980000019    
       74400 ,  0.980000019    
       74500 ,   1.00000000    
       74600 ,  0.939999998    
       74700 ,   1.00000000    
       74800 ,  0.939999998    
       74900 ,   1.00000000    
       75000 ,  0.959999979    
       75100 ,  0.959999979    
       75200 ,  0.980000019    
       75300 ,  0.939999998    
       75400 ,   1.00000000    
       75500 ,   1.00000000    
       75600 ,   1.00000000    
       75700 ,   1.00000000    
       75800 ,  0.939999998    
       75900 ,  0.939999998    
       76000 ,   1.00000000    
       76100 ,   1.00000000    
       76200 ,  0.959999979    
       76300 ,  0.959999979    
       76400 ,   1.00000000    
       76500 ,  0.920000017    
       76600 ,   1.00000000    
       76700 ,  0.959999979    
       76800 ,  0.980000019    
       76900 ,  0.980000019    
       77000 ,  0.959999979    
       77100 ,  0.959999979    
       77200 ,  0.980000019    
       77300 ,   1.00000000    
       77400 ,  0.959999979    
       77500 ,  0.980000019    
       77600 ,  0.959999979    
       77700 ,  0.980000019    
       77800 ,  0.980000019    
       77900 ,   1.00000000    
       78000 ,  0.980000019    
       78100 ,  0.959999979    
       78200 ,  0.759999990    
       78300 ,  0.939999998    
       78400 ,   1.00000000    
       78500 ,  0.980000019    
       78600 ,   1.00000000    
       78700 ,  0.980000019    
       78800 ,  0.959999979    
       78900 ,  0.939999998    
       79000 ,  0.939999998    
       79100 ,  0.980000019    
       79200 ,   1.00000000    
       79300 ,  0.959999979    
       79400 ,  0.980000019    
       79500 ,  0.920000017    
       79600 ,  0.980000019    
       79700 ,  0.939999998    
       79800 ,  0.980000019    
       79900 ,   1.00000000    
       80000 ,  0.980000019    
       80100 ,  0.980000019    
       80200 ,   1.00000000    
       80300 ,   1.00000000    
       80400 ,   1.00000000    
       80500 ,   1.00000000    
       80600 ,   1.00000000    
       80700 ,  0.959999979    
       80800 ,  0.939999998    
       80900 ,   1.00000000    
       81000 ,   1.00000000    
       81100 ,  0.959999979    
       81200 ,   1.00000000    
       81300 ,  0.980000019    
       81400 ,  0.959999979    
       81500 ,   1.00000000    
       81600 ,  0.980000019    
       81700 ,  0.939999998    
       81800 ,  0.980000019    
       81900 ,  0.980000019    
       82000 ,  0.959999979    
       82100 ,  0.980000019    
       82200 ,  0.980000019    
       82300 ,  0.980000019    
       82400 ,   1.00000000    
       82500 ,  0.920000017    
       82600 ,  0.980000019    
       82700 ,  0.959999979    
       82800 ,  0.980000019    
       82900 ,  0.980000019    
       83000 ,  0.899999976    
       83100 ,  0.980000019    
       83200 ,  0.899999976    
       83300 ,  0.959999979    
       83400 ,   1.00000000    
       83500 ,   1.00000000    
       83600 ,   1.00000000    
       83700 ,  0.959999979    
       83800 ,  0.980000019    
       83900 ,   1.00000000    
       84000 ,   1.00000000    
       84100 ,  0.959999979    
       84200 ,  0.980000019    
       84300 ,   1.00000000    
       84400 ,  0.980000019    
       84500 ,   1.00000000    
       84600 ,  0.959999979    
       84700 ,  0.939999998    
       84800 ,  0.980000019    
       84900 ,  0.980000019    
       85000 ,   1.00000000    
       85100 ,   1.00000000    
       85200 ,   1.00000000    
       85300 ,  0.980000019    
       85400 ,  0.920000017    
       85500 ,   1.00000000    
       85600 ,  0.980000019    
       85700 ,   1.00000000    
       85800 ,   1.00000000    
       85900 ,  0.980000019    
       86000 ,   1.00000000    
       86100 ,   1.00000000    
       86200 ,   1.00000000    
       86300 ,  0.980000019    
       86400 ,  0.980000019    
       86500 ,  0.980000019    
       86600 ,  0.860000014    
       86700 ,  0.980000019    
       86800 ,  0.939999998    
       86900 ,  0.920000017    
       87000 ,   1.00000000    
       87100 ,  0.939999998    
       87200 ,  0.899999976    
       87300 ,  0.980000019    
       87400 ,  0.980000019    
       87500 ,  0.959999979    
       87600 ,  0.980000019    
       87700 ,  0.980000019    
       87800 ,  0.920000017    
       87900 ,  0.980000019    
       88000 ,  0.959999979    
       88100 ,   1.00000000    
       88200 ,  0.740000010    
       88300 ,  0.959999979    
       88400 ,   1.00000000    
       88500 ,  0.959999979    
       88600 ,   1.00000000    
       88700 ,  0.920000017    
       88800 ,   1.00000000    
       88900 ,  0.959999979    
       89000 ,  0.959999979    
       89100 ,  0.980000019    
       89200 ,  0.980000019    
       89300 ,  0.959999979    
       89400 ,  0.939999998    
       89500 ,  0.980000019    
       89600 ,  0.980000019    
       89700 ,   1.00000000    
       89800 ,  0.980000019    
       89900 ,  0.899999976    
       90000 ,  0.980000019    
       90100 ,  0.939999998    
       90200 ,   1.00000000    
       90300 ,   1.00000000    
       90400 ,   1.00000000    
       90500 ,  0.839999974    
       90600 ,  0.980000019    
       90700 ,   1.00000000    
       90800 ,   1.00000000    
       90900 ,  0.939999998    
       91000 ,  0.980000019    
       91100 ,  0.879999995    
       91200 ,  0.959999979    
       91300 ,  0.980000019    
       91400 ,  0.959999979    
       91500 ,  0.959999979    
       91600 ,   1.00000000    
       91700 ,  0.980000019    
       91800 ,   1.00000000    
       91900 ,  0.939999998    
       92000 ,  0.939999998    
       92100 ,   1.00000000    
       92200 ,  0.959999979    
       92300 ,   1.00000000    
       92400 ,   1.00000000    
       92500 ,  0.939999998    
       92600 ,  0.959999979    
       92700 ,  0.920000017    
       92800 ,  0.980000019    
       92900 ,  0.939999998    
       93000 ,   1.00000000    
       93100 ,  0.959999979    
       93200 ,  0.959999979    
       93300 ,  0.980000019    
       93400 ,  0.980000019    
       93500 ,  0.980000019    
       93600 ,  0.980000019    
       93700 ,   1.00000000    
       93800 ,  0.980000019    
       93900 ,   1.00000000    
       94000 ,  0.980000019    
       94100 ,  0.939999998    
       94200 ,   1.00000000    
       94300 ,  0.980000019    
       94400 ,   1.00000000    
       94500 ,  0.959999979    
       94600 ,   1.00000000    
       94700 ,  0.980000019    
       94800 ,   1.00000000    
       94900 ,  0.899999976    
       95000 ,  0.980000019    
       95100 ,  0.939999998    
       95200 ,   1.00000000    
       95300 ,  0.899999976    
       95400 ,  0.980000019    
       95500 ,  0.959999979    
       95600 ,  0.980000019    
       95700 ,   1.00000000    
       95800 ,   1.00000000    
       95900 ,   1.00000000    
       96000 ,  0.920000017    
       96100 ,  0.980000019    
       96200 ,   1.00000000    
       96300 ,   1.00000000    
       96400 ,  0.959999979    
       96500 ,   1.00000000    
       96600 ,  0.959999979    
       96700 ,  0.980000019    
       96800 ,  0.920000017    
       96900 ,  0.980000019    
       97000 ,  0.980000019    
       97100 ,  0.959999979    
       97200 ,  0.920000017    
       97300 ,   1.00000000    
       97400 ,   1.00000000    
       97500 ,  0.980000019    
       97600 ,  0.959999979    
       97700 ,  0.920000017    
       97800 ,  0.939999998    
       97900 ,  0.980000019    
       98000 ,  0.959999979    
       98100 ,   1.00000000    
       98200 ,  0.959999979    
       98300 ,   1.00000000    
       98400 ,  0.959999979    
       98500 ,  0.959999979    
       98600 ,  0.959999979    
       98700 ,  0.980000019    
       98800 ,  0.980000019    
       98900 ,  0.860000014    
       99000 ,   1.00000000    
       99100 ,  0.980000019    
       99200 ,  0.959999979    
       99300 ,  0.980000019    
       99400 ,  0.980000019    
       99500 ,   1.00000000    
       99600 ,   1.00000000    
       99700 ,   1.00000000    
       99800 ,  0.920000017    
       99900 ,  0.920000017    
      100000 ,  0.959999979    
      100100 ,  0.980000019    
      100200 ,  0.959999979    
      100300 ,  0.959999979    
      100400 ,  0.959999979    
      100500 ,  0.920000017    
      100600 ,  0.959999979    
      100700 ,  0.920000017    
      100800 ,   1.00000000    
      100900 ,  0.980000019    
      101000 ,  0.980000019    
      101100 ,  0.980000019    
      101200 ,  0.980000019    
