 MCS, m
     2240000 , -0.959999979    
     2250000 , -0.939999998    
     2260000 , -0.959999979    
     2270000 , -0.939999998    
     2280000 , -0.920000017    
     2290000 , -0.959999979    
     2300000 , -0.920000017    
     2310000 , -0.980000019    
     2320000 ,  -1.00000000    
     2330000 , -0.980000019    
     2340000 , -0.980000019    
     2350000 , -0.980000019    
     2360000 , -0.939999998    
     2370000 ,  -1.00000000    
     2380000 , -0.959999979    
     2390000 , -0.980000019    
     2400000 ,  -1.00000000    
     2410000 , -0.959999979    
     2420000 ,  -1.00000000    
     2430000 , -0.959999979    
     2440000 , -0.980000019    
     2450000 ,  -1.00000000    
     2460000 , -0.980000019    
     2470000 , -0.939999998    
     2480000 ,  -1.00000000    
     2490000 , -0.959999979    
     2500000 , -0.980000019    
     2510000 , -0.879999995    
     2520000 , -0.920000017    
     2530000 , -0.939999998    
     2540000 , -0.879999995    
     2550000 , -0.959999979    
     2560000 , -0.980000019    
     2570000 , -0.920000017    
     2580000 ,  -1.00000000    
     2590000 , -0.959999979    
     2600000 ,  -1.00000000    
     2610000 , -0.959999979    
     2620000 ,  -1.00000000    
     2630000 ,  -1.00000000    
     2640000 ,  -1.00000000    
     2650000 ,  -1.00000000    
     2660000 , -0.980000019    
     2670000 , -0.980000019    
     2680000 ,  -1.00000000    
     2690000 , -0.959999979    
     2700000 , -0.980000019    
     2710000 , -0.959999979    
     2720000 , -0.959999979    
     2730000 ,  -1.00000000    
     2740000 , -0.980000019    
     2750000 , -0.879999995    
     2760000 , -0.980000019    
     2770000 ,  -1.00000000    
     2780000 ,  -1.00000000    
     2790000 ,  -1.00000000    
     2800000 ,  -1.00000000    
     2810000 , -0.939999998    
     2820000 , -0.959999979    
     2830000 , -0.939999998    
     2840000 , -0.959999979    
     2850000 , -0.939999998    
     2860000 , -0.959999979    
     2870000 ,  -1.00000000    
     2880000 , -0.920000017    
     2890000 , -0.980000019    
     2900000 , -0.980000019    
     2910000 , -0.959999979    
     2920000 ,  -1.00000000    
     2930000 , -0.980000019    
     2940000 , -0.980000019    
     2950000 , -0.959999979    
     2960000 , -0.939999998    
     2970000 , -0.860000014    
     2980000 , -0.959999979    
     2990000 , -0.939999998    
     3000000 , -0.980000019    
     3010000 ,  -1.00000000    
     3020000 , -0.980000019    
     3030000 , -0.860000014    
     3040000 , -0.939999998    
     3050000 , -0.879999995    
     3060000 , -0.959999979    
     3070000 , -0.959999979    
     3080000 , -0.939999998    
     3090000 ,  -1.00000000    
     3100000 , -0.959999979    
     3110000 , -0.980000019    
     3120000 , -0.959999979    
     3130000 , -0.959999979    
     3140000 , -0.959999979    
     3150000 ,  -1.00000000    
     3160000 , -0.980000019    
