 T, m
   3.071400     ,  0.1026441    
   3.073200     ,  0.1043375    
   3.075000     ,  0.1006824    
   3.076800     ,  0.1019253    
   3.078600     ,  0.1032905    
   3.080400     ,  0.1006081    
   3.082200     ,  0.1024092    
   3.084000     ,  0.1024731    
   3.085800     ,  0.1015466    
   3.087600     ,  9.9993736E-02
   3.089400     ,  0.1010273    
   3.091200     ,  0.1016602    
   3.093000     ,  0.1009116    
   3.094800     ,  9.9223942E-02
   3.096600     ,  0.1007299    
   3.098400     ,  9.9126182E-02
   3.100200     ,  0.1003674    
   3.102000     ,  9.9917032E-02
   3.103800     ,  0.1016981    
   3.105600     ,  0.1006812    
   3.107400     ,  9.7740330E-02
   3.109200     ,  0.1009915    
   3.111000     ,  0.1006076    
   3.112800     ,  0.1005930    
   3.114600     ,  9.9764615E-02
   3.116400     ,  9.8668851E-02
   3.118200     ,  9.8841719E-02
   3.120000     ,  9.8215126E-02
   3.121800     ,  9.8567881E-02
   3.123600     ,  9.8142840E-02
   3.125400     ,  9.7140037E-02
   3.127200     ,  9.7358830E-02
   3.129000     ,  9.8599896E-02
   3.130800     ,  9.8193511E-02
   3.132600     ,  9.6734323E-02
   3.134400     ,  9.8229922E-02
   3.136200     ,  9.7883053E-02
   3.138000     ,  9.8137066E-02
   3.139800     ,  9.7680978E-02
   3.141600     ,  9.7166285E-02
   3.143400     ,  9.6459061E-02
   3.145200     ,  9.6908227E-02
   3.147000     ,  9.6129343E-02
   3.148800     ,  9.7770303E-02
   3.150600     ,  9.7468860E-02
   3.152400     ,  9.6545450E-02
   3.154200     ,  9.6398637E-02
   3.156000     ,  9.6585684E-02
   3.157800     ,  9.4532654E-02
   3.159600     ,  9.5854208E-02
   3.161400     ,  9.5718637E-02
   3.163200     ,  9.5066525E-02
   3.165000     ,  9.6643269E-02
   3.166800     ,  9.5657133E-02
   3.168600     ,  9.5608421E-02
   3.170400     ,  9.4972141E-02
   3.172200     ,  9.6523717E-02
   3.174000     ,  9.6370704E-02
   3.175800     ,  9.3978457E-02
   3.177600     ,  9.6165933E-02
   3.179400     ,  9.4018199E-02
   3.181200     ,  9.5211126E-02
   3.183000     ,  9.5494106E-02
   3.184800     ,  9.3972735E-02
   3.186600     ,  9.5433168E-02
   3.188400     ,  9.4048269E-02
   3.190200     ,  9.4019935E-02
   3.192000     ,  9.1976576E-02
   3.193800     ,  9.4233833E-02
   3.195600     ,  9.3371689E-02
   3.197400     ,  9.4811112E-02
   3.199200     ,  9.3662292E-02
   3.201000     ,  9.2990935E-02
   3.202800     ,  9.3506128E-02
   3.204600     ,  9.2466041E-02
   3.206400     ,  9.2582554E-02
   3.208200     ,  9.3053013E-02
   3.210000     ,  9.2353441E-02
   3.211800     ,  9.3766630E-02
   3.213600     ,  8.9973368E-02
   3.215400     ,  9.0589538E-02
   3.217200     ,  9.2003495E-02
   3.219000     ,  9.2052676E-02
   3.220800     ,  9.2635080E-02
   3.222600     ,  9.2897877E-02
   3.224400     ,  9.2615232E-02
   3.226200     ,  9.3203418E-02
   3.228000     ,  9.1697551E-02
   3.229800     ,  9.1538213E-02
   3.231600     ,  9.1212273E-02
   3.233400     ,  9.1932438E-02
   3.235200     ,  9.0984054E-02
   3.237000     ,  9.2342585E-02
   3.238800     ,  9.1618076E-02
   3.240600     ,  9.1465056E-02
   3.242400     ,  8.8602468E-02
   3.244200     ,  8.9723758E-02
   3.246000     ,  9.2076957E-02
   3.247800     ,  8.9996994E-02
   3.249600     ,  9.1172703E-02
   3.251400     ,  9.0657584E-02
   3.253200     ,  9.0451993E-02
   3.255000     ,  9.0030991E-02
   3.256800     ,  9.0982057E-02
   3.258600     ,  9.1431253E-02
   3.260400     ,  9.0660051E-02
   3.262200     ,  9.0120547E-02
   3.264000     ,  8.9959703E-02
   3.265800     ,  8.9095123E-02
   3.267600     ,  9.0134561E-02
   3.269400     ,  9.0075172E-02
   3.271200     ,  8.9088798E-02
   3.273000     ,  8.8676743E-02
   3.274800     ,  8.8859744E-02
   3.276600     ,  8.8879019E-02
   3.278400     ,  8.8418297E-02
   3.280200     ,  9.0009056E-02
   3.282000     ,  8.9655280E-02
   3.283800     ,  8.8757895E-02
   3.285600     ,  8.7268017E-02
   3.287400     ,  8.7294906E-02
   3.289200     ,  8.8491738E-02
   3.291000     ,  8.7985635E-02
   3.292800     ,  8.6790740E-02
   3.294600     ,  8.6748496E-02
   3.296400     ,  8.8415533E-02
   3.298200     ,  8.5602872E-02
   3.300000     ,  8.9022934E-02
