 T, m
   1.860000     ,  0.9468095    
   1.861800     ,  0.9464756    
   1.863600     ,  0.9461928    
   1.865400     ,  0.9457107    
   1.867200     ,  0.9452798    
   1.869000     ,  0.9449342    
   1.870800     ,  0.9447552    
   1.872600     ,  0.9440255    
   1.874400     ,  0.9437634    
   1.876200     ,  0.9430979    
   1.878000     ,  0.9426450    
   1.879800     ,  0.9427606    
   1.881600     ,  0.9421763    
   1.883400     ,  0.9412900    
   1.885200     ,  0.9415104    
   1.887000     ,  0.9410384    
   1.888800     ,  0.9402291    
   1.890600     ,  0.9406071    
   1.892400     ,  0.9395835    
   1.894200     ,  0.9400558    
   1.896000     ,  0.9395752    
   1.897800     ,  0.9390743    
   1.899600     ,  0.9384724    
   1.901400     ,  0.9379071    
   1.903200     ,  0.9372580    
   1.905000     ,  0.9364044    
   1.906800     ,  0.9366511    
   1.908600     ,  0.9367676    
   1.910400     ,  0.9358240    
   1.912200     ,  0.9356362    
   1.914000     ,  0.9349177    
   1.915800     ,  0.9345853    
   1.917600     ,  0.9342004    
   1.919400     ,  0.9332415    
   1.921200     ,  0.9333954    
   1.923000     ,  0.9329039    
   1.924800     ,  0.9327788    
   1.926600     ,  0.9318742    
   1.928400     ,  0.9318370    
   1.930200     ,  0.9316835    
   1.932000     ,  0.9308785    
   1.933800     ,  0.9304386    
   1.935600     ,  0.9295304    
   1.937400     ,  0.9294065    
   1.939200     ,  0.9292659    
   1.941000     ,  0.9280527    
   1.942800     ,  0.9281999    
   1.944600     ,  0.9283419    
   1.946400     ,  0.9268866    
   1.948200     ,  0.9267069    
   1.950000     ,  0.9261787    
   1.951800     ,  0.9252234    
   1.953600     ,  0.9252567    
   1.955400     ,  0.9251874    
   1.957200     ,  0.9237475    
   1.959000     ,  0.9239812    
   1.960800     ,  0.9241408    
   1.962600     ,  0.9231879    
   1.964400     ,  0.9217983    
   1.966200     ,  0.9220840    
   1.968000     ,  0.9207424    
   1.969800     ,  0.9213243    
   1.971600     ,  0.9205762    
   1.973400     ,  0.9199197    
   1.975200     ,  0.9192520    
   1.977000     ,  0.9184269    
   1.978800     ,  0.9178336    
   1.980600     ,  0.9169694    
   1.982400     ,  0.9171395    
   1.984200     ,  0.9171390    
   1.986000     ,  0.9155996    
   1.987800     ,  0.9150208    
   1.989600     ,  0.9150776    
   1.991400     ,  0.9131496    
   1.993200     ,  0.9132940    
   1.995000     ,  0.9132703    
   1.996800     ,  0.9126744    
   1.998600     ,  0.9113725    
   2.000400     ,  0.9108475    
   2.002200     ,  0.9099412    
   2.004000     ,  0.9094726    
   2.005800     ,  0.9095701    
   2.007600     ,  0.9088635    
   2.009400     ,  0.9086597    
   2.011200     ,  0.9084905    
   2.013000     ,  0.9065630    
   2.014800     ,  0.9054438    
   2.016600     ,  0.9059739    
   2.018400     ,  0.9043016    
   2.020200     ,  0.9036780    
   2.022000     ,  0.9033526    
   2.023800     ,  0.9034759    
   2.025600     ,  0.9022672    
   2.027400     ,  0.9016959    
   2.029200     ,  0.8995402    
   2.031000     ,  0.9008657    
   2.032800     ,  0.8993607    
   2.034600     ,  0.8997702    
   2.036400     ,  0.8975899    
   2.038200     ,  0.8968560    
   2.040000     ,  0.8972791    
   2.041800     ,  0.8964167    
   2.043600     ,  0.8958015    
   2.045400     ,  0.8948895    
   2.047200     ,  0.8939447    
   2.049000     ,  0.8929800    
   2.050800     ,  0.8927787    
   2.052600     ,  0.8915590    
   2.054400     ,  0.8907819    
   2.056200     ,  0.8891146    
   2.058000     ,  0.8902062    
   2.059800     ,  0.8878178    
   2.061600     ,  0.8871183    
   2.063400     ,  0.8867531    
   2.065200     ,  0.8852046    
   2.067000     ,  0.8850523    
   2.068800     ,  0.8844834    
   2.070600     ,  0.8836285    
   2.072400     ,  0.8824957    
   2.074200     ,  0.8824843    
   2.076000     ,  0.8809090    
   2.077800     ,  0.8807107    
   2.079600     ,  0.8785067    
   2.081400     ,  0.8788108    
   2.083200     ,  0.8781300    
   2.085000     ,  0.8764710    
   2.086800     ,  0.8774477    
   2.088600     ,  0.8745688    
   2.090400     ,  0.8749965    
   2.092200     ,  0.8741155    
   2.094000     ,  0.8707218    
   2.095800     ,  0.8712337    
   2.097600     ,  0.8699691    
   2.099400     ,  0.8685496    
   2.101200     ,  0.8670289    
   2.103000     ,  0.8665895    
   2.104800     ,  0.8655351    
   2.106600     ,  0.8641469    
   2.108400     ,  0.8641027    
   2.110200     ,  0.8628758    
   2.112000     ,  0.8613782    
   2.113800     ,  0.8591999    
   2.115600     ,  0.8590165    
   2.117400     ,  0.8598970    
   2.119200     ,  0.8580218    
   2.121000     ,  0.8551807    
   2.122800     ,  0.8562021    
   2.124600     ,  0.8549078    
   2.126400     ,  0.8520138    
   2.128200     ,  0.8518217    
   2.130000     ,  0.8499476    
   2.131800     ,  0.8493090    
   2.133600     ,  0.8466856    
   2.135400     ,  0.8462555    
   2.137200     ,  0.8456658    
   2.139000     ,  0.8438700    
   2.140800     ,  0.8421449    
   2.142600     ,  0.8398414    
   2.144400     ,  0.8404860    
