 T, m, L
   2.633333     ,  0.1831755     ,          25
   2.650000     ,  0.1713036     ,          25
   2.666667     ,  0.1680495     ,          25
   2.683333     ,  0.1643842     ,          25
   2.700000     ,  0.1582108     ,          25
   2.716667     ,  0.1527275     ,          25
   2.733334     ,  0.1522787     ,          25
   2.750000     ,  0.1474560     ,          25
   2.766667     ,  0.1425910     ,          25
   2.783334     ,  0.1400654     ,          25
   2.800000     ,  0.1340361     ,          25
   2.816667     ,  0.1345893     ,          25
   2.833333     ,  0.1316784     ,          25
   2.850000     ,  0.1247984     ,          25
   2.866667     ,  0.1257235     ,          25
   2.883333     ,  0.1243497     ,          25
   2.900000     ,  0.1212656     ,          25
   2.916667     ,  0.1196181     ,          25
   2.933333     ,  0.1166565     ,          25
   2.950000     ,  0.1148416     ,          25
   2.966667     ,  0.1137995     ,          25
   2.983334     ,  0.1116978     ,          25
   3.000000     ,  0.1067530     ,          25
   3.016667     ,  0.1053962     ,          25
   3.033334     ,  0.1050967     ,          25
   3.050000     ,  0.1060676     ,          25
   3.066667     ,  0.1022230     ,          25
   3.083333     ,  0.1038210     ,          25
   3.100000     ,  0.1012021     ,          25
   3.116667     ,  9.9799111E-02 ,          25
   3.133333     ,  9.7273834E-02 ,          25
   3.150000     ,  9.7101025E-02 ,          25
   3.166667     ,  9.5532447E-02 ,          25
   3.183333     ,  9.4401471E-02 ,          25
   3.200000     ,  9.2581980E-02 ,          25
   3.216667     ,  9.3507513E-02 ,          25
   3.233334     ,  9.2151828E-02 ,          25
   3.250000     ,  8.8784918E-02 ,          25
   3.266667     ,  9.0473190E-02 ,          25
   3.283334     ,  8.7545291E-02 ,          25
   3.300000     ,  8.6839199E-02 ,          25
   3.316667     ,  8.7407060E-02 ,          25
   3.333333     ,  8.7590657E-02 ,          25
   3.350000     ,  8.4057152E-02 ,          25
   3.366667     ,  8.4443182E-02 ,          25
   3.383333     ,  8.3668858E-02 ,          25
   3.400000     ,  8.3916456E-02 ,          25
   3.416667     ,  8.2370222E-02 ,          25
   3.433333     ,  8.1799999E-02 ,          25
   3.450000     ,  8.0249220E-02 ,          25
