 MCS, m
       52700 ,  -1.99999996E-02
       52800 ,  0.159999996    
       52900 ,  0.219999999    
       53000 , -0.540000021    
       53100 , -0.119999997    
       53200 ,  0.100000001    
       53300 , -0.560000002    
       53400 ,   5.99999987E-02
       53500 ,   1.99999996E-02
       53600 , -0.200000003    
       53700 , -0.100000001    
       53800 , -0.159999996    
       53900 ,  0.159999996    
       54000 ,  0.379999995    
       54100 , -0.100000001    
       54200 , -0.140000001    
       54300 , -0.180000007    
       54400 ,  0.200000003    
       54500 ,   1.99999996E-02
       54600 , -0.439999998    
       54700 ,  -7.99999982E-02
       54800 , -0.400000006    
       54900 , -0.159999996    
       55000 , -0.540000021    
       55100 , -0.239999995    
       55200 , -0.159999996    
       55300 , -0.460000008    
       55400 ,  0.259999990    
       55500 ,  -3.99999991E-02
       55600 , -0.400000006    
       55700 , -0.340000004    
       55800 ,  0.400000006    
       55900 ,  0.239999995    
       56000 ,  -1.99999996E-02
       56100 ,  0.340000004    
       56200 , -0.259999990    
       56300 ,  0.119999997    
       56400 , -0.100000001    
       56500 , -0.259999990    
       56600 ,  0.180000007    
       56700 , -0.200000003    
       56800 , -0.159999996    
       56900 ,  0.460000008    
       57000 ,  0.140000001    
       57100 ,  -7.99999982E-02
       57200 ,  0.560000002    
       57300 , -0.460000008    
       57400 ,  0.300000012    
       57500 ,  -7.99999982E-02
       57600 ,  0.219999999    
       57700 , -0.100000001    
       57800 ,  0.219999999    
       57900 ,  0.540000021    
       58000 ,  0.100000001    
       58100 , -0.200000003    
       58200 , -0.140000001    
       58300 ,  -1.99999996E-02
       58400 ,   3.99999991E-02
       58500 ,  0.259999990    
       58600 ,  0.100000001    
       58700 ,   5.99999987E-02
       58800 ,   5.99999987E-02
       58900 , -0.360000014    
       59000 ,  0.560000002    
       59100 , -0.500000000    
       59200 , -0.400000006    
       59300 ,  0.319999993    
       59400 ,  0.159999996    
       59500 ,  0.140000001    
       59600 ,  0.360000014    
       59700 , -0.180000007    
       59800 ,  0.579999983    
       59900 , -0.300000012    
       60000 ,  0.159999996    
       60100 , -0.460000008    
       60200 ,  -7.99999982E-02
       60300 , -0.140000001    
       60400 , -0.280000001    
       60500 , -0.280000001    
       60600 ,   0.00000000    
       60700 , -0.100000001    
       60800 , -0.219999999    
       60900 , -0.280000001    
       61000 ,  0.460000008    
       61100 ,  -3.99999991E-02
       61200 ,  0.100000001    
       61300 ,  0.239999995    
       61400 ,  -1.99999996E-02
       61500 ,  -7.99999982E-02
       61600 ,  0.280000001    
       61700 ,   0.00000000    
       61800 ,  0.280000001    
       61900 ,  0.180000007    
       62000 ,  0.159999996    
       62100 ,   3.99999991E-02
       62200 ,   3.99999991E-02
       62300 ,  -3.99999991E-02
       62400 ,  -5.99999987E-02
       62500 , -0.200000003    
       62600 ,  0.360000014    
       62700 ,   0.00000000    
       62800 ,  0.439999998    
       62900 ,  0.319999993    
       63000 , -0.379999995    
       63100 , -0.379999995    
       63200 ,   5.99999987E-02
       63300 , -0.200000003    
       63400 ,  -3.99999991E-02
       63500 ,  0.280000001    
       63600 , -0.200000003    
       63700 ,  0.439999998    
       63800 ,  0.159999996    
       63900 , -0.479999989    
       64000 , -0.519999981    
       64100 , -0.319999993    
       64200 ,   3.99999991E-02
       64300 ,   7.99999982E-02
       64400 ,   3.99999991E-02
       64500 , -0.100000001    
       64600 ,  -5.99999987E-02
       64700 ,  -5.99999987E-02
       64800 , -0.239999995    
       64900 ,  -1.99999996E-02
       65000 , -0.300000012    
       65100 , -0.280000001    
       65200 ,  0.140000001    
       65300 ,  -5.99999987E-02
       65400 ,  0.180000007    
       65500 , -0.379999995    
       65600 ,  0.239999995    
       65700 ,  0.280000001    
       65800 ,  0.200000003    
       65900 ,  -5.99999987E-02
       66000 , -0.100000001    
       66100 ,   7.99999982E-02
       66200 ,   5.99999987E-02
       66300 ,  0.200000003    
       66400 ,  0.100000001    
       66500 , -0.419999987    
       66600 , -0.200000003    
       66700 ,  0.720000029    
       66800 , -0.119999997    
       66900 , -0.140000001    
       67000 , -0.319999993    
       67100 ,  -5.99999987E-02
       67200 , -0.439999998    
       67300 ,  0.140000001    
       67400 , -0.319999993    
       67500 ,  0.159999996    
       67600 ,  -5.99999987E-02
       67700 ,  0.119999997    
       67800 ,  -1.99999996E-02
       67900 ,  0.360000014    
       68000 ,  0.180000007    
       68100 ,  -3.99999991E-02
       68200 , -0.400000006    
       68300 ,  0.140000001    
       68400 , -0.439999998    
       68500 ,  0.180000007    
       68600 , -0.280000001    
       68700 ,  0.100000001    
       68800 ,  -7.99999982E-02
       68900 ,   3.99999991E-02
       69000 ,   3.99999991E-02
       69100 , -0.280000001    
       69200 , -0.200000003    
       69300 , -0.200000003    
       69400 ,  0.439999998    
       69500 ,  0.340000004    
       69600 , -0.280000001    
       69700 ,  0.180000007    
       69800 ,  0.119999997    
       69900 , -0.119999997    
       70000 , -0.340000004    
       70100 , -0.500000000    
       70200 ,  0.419999987    
       70300 , -0.140000001    
       70400 ,   0.00000000    
       70500 , -0.319999993    
       70600 ,   3.99999991E-02
       70700 , -0.400000006    
       70800 , -0.379999995    
       70900 ,  0.219999999    
       71000 ,  0.219999999    
       71100 ,  0.460000008    
       71200 ,  -1.99999996E-02
       71300 , -0.340000004    
       71400 , -0.200000003    
       71500 ,   0.00000000    
       71600 , -0.340000004    
       71700 , -0.180000007    
       71800 , -0.100000001    
       71900 ,   7.99999982E-02
       72000 , -0.180000007    
       72100 ,  0.100000001    
       72200 , -0.280000001    
       72300 ,  0.239999995    
       72400 ,  -1.99999996E-02
       72500 ,  0.400000006    
       72600 , -0.100000001    
       72700 ,  0.280000001    
       72800 , -0.319999993    
       72900 ,  -3.99999991E-02
       73000 ,  0.100000001    
       73100 ,  0.280000001    
       73200 ,   1.99999996E-02
       73300 ,  0.200000003    
       73400 , -0.479999989    
       73500 ,  0.259999990    
       73600 ,  -3.99999991E-02
       73700 , -0.219999999    
       73800 ,   0.00000000    
       73900 ,  0.100000001    
       74000 ,  0.119999997    
       74100 ,  0.340000004    
       74200 ,  0.300000012    
       74300 , -0.239999995    
       74400 ,  0.319999993    
       74500 ,   3.99999991E-02
       74600 , -0.319999993    
       74700 ,  0.219999999    
       74800 ,  0.280000001    
       74900 ,   3.99999991E-02
       75000 , -0.239999995    
       75100 , -0.419999987    
       75200 ,   7.99999982E-02
       75300 ,  -3.99999991E-02
       75400 , -0.319999993    
       75500 ,  0.360000014    
       75600 ,  0.119999997    
       75700 , -0.419999987    
       75800 ,  0.159999996    
       75900 , -0.360000014    
       76000 ,  -1.99999996E-02
       76100 , -0.360000014    
       76200 , -0.140000001    
       76300 ,  -1.99999996E-02
       76400 ,  0.259999990    
       76500 , -0.219999999    
       76600 ,  0.379999995    
       76700 , -0.300000012    
       76800 ,  0.280000001    
       76900 ,  -1.99999996E-02
       77000 ,  -3.99999991E-02
       77100 ,  0.140000001    
       77200 ,  0.259999990    
       77300 , -0.200000003    
       77400 ,  0.100000001    
       77500 ,  0.119999997    
       77600 , -0.259999990    
       77700 ,  0.100000001    
       77800 , -0.219999999    
       77900 ,  -1.99999996E-02
       78000 , -0.159999996    
       78100 , -0.540000021    
       78200 ,  0.200000003    
       78300 , -0.119999997    
       78400 ,  -3.99999991E-02
       78500 ,  -1.99999996E-02
       78600 ,  0.639999986    
       78700 ,  0.100000001    
       78800 , -0.300000012    
       78900 , -0.119999997    
       79000 ,   7.99999982E-02
       79100 , -0.280000001    
       79200 , -0.579999983    
       79300 ,  0.400000006    
       79400 ,  0.200000003    
       79500 , -0.280000001    
       79600 , -0.259999990    
       79700 , -0.200000003    
       79800 , -0.259999990    
       79900 , -0.100000001    
       80000 ,   1.99999996E-02
       80100 ,  -1.99999996E-02
       80200 , -0.239999995    
       80300 ,  -1.99999996E-02
       80400 , -0.340000004    
       80500 , -0.360000014    
       80600 ,  0.239999995    
       80700 , -0.219999999    
       80800 , -0.219999999    
       80900 ,  -1.99999996E-02
       81000 ,  -5.99999987E-02
       81100 ,  -5.99999987E-02
       81200 , -0.379999995    
       81300 , -0.300000012    
       81400 ,  0.219999999    
       81500 ,  0.259999990    
       81600 ,   0.00000000    
       81700 ,  0.159999996    
       81800 ,   1.99999996E-02
       81900 ,   3.99999991E-02
       82000 , -0.200000003    
       82100 ,  0.119999997    
       82200 , -0.219999999    
       82300 ,  0.100000001    
       82400 ,  0.319999993    
       82500 ,  0.319999993    
       82600 ,  -5.99999987E-02
       82700 ,  0.500000000    
       82800 ,  0.159999996    
       82900 ,  -7.99999982E-02
       83000 ,  0.360000014    
       83100 ,   1.99999996E-02
       83200 , -0.379999995    
       83300 ,   0.00000000    
       83400 ,   7.99999982E-02
       83500 , -0.379999995    
       83600 , -0.439999998    
       83700 , -0.419999987    
       83800 ,  0.119999997    
       83900 ,  0.300000012    
       84000 ,  0.219999999    
       84100 , -0.200000003    
       84200 ,  0.419999987    
       84300 ,  0.100000001    
       84400 , -0.219999999    
       84500 ,   3.99999991E-02
       84600 ,  0.239999995    
       84700 , -0.340000004    
       84800 ,  0.400000006    
       84900 ,  0.100000001    
       85000 ,   0.00000000    
       85100 ,  0.219999999    
       85200 ,  -5.99999987E-02
       85300 , -0.159999996    
       85400 ,  0.200000003    
       85500 ,   1.99999996E-02
       85600 ,  0.360000014    
       85700 ,   1.99999996E-02
       85800 , -0.200000003    
       85900 ,   5.99999987E-02
       86000 , -0.119999997    
       86100 ,  -5.99999987E-02
       86200 ,  0.259999990    
       86300 , -0.439999998    
       86400 ,  0.319999993    
       86500 ,  0.180000007    
       86600 , -0.340000004    
       86700 ,  0.360000014    
       86800 ,  -3.99999991E-02
       86900 , -0.340000004    
       87000 ,  0.159999996    
       87100 ,  -3.99999991E-02
       87200 ,  0.620000005    
       87300 , -0.400000006    
       87400 , -0.119999997    
       87500 , -0.379999995    
       87600 ,  0.180000007    
       87700 ,  -5.99999987E-02
       87800 ,   7.99999982E-02
       87900 ,  -7.99999982E-02
       88000 ,   0.00000000    
       88100 ,   5.99999987E-02
       88200 ,   3.99999991E-02
       88300 ,  0.180000007    
       88400 ,  0.379999995    
       88500 ,  0.280000001    
       88600 ,  0.579999983    
       88700 ,  0.360000014    
       88800 ,   1.99999996E-02
       88900 , -0.140000001    
       89000 ,  0.439999998    
       89100 ,  0.340000004    
       89200 ,   3.99999991E-02
       89300 ,   0.00000000    
       89400 , -0.239999995    
       89500 ,  0.119999997    
       89600 ,  0.300000012    
       89700 ,  -5.99999987E-02
       89800 , -0.439999998    
       89900 ,   7.99999982E-02
       90000 ,  0.180000007    
       90100 ,  0.259999990    
       90200 , -0.319999993    
       90300 ,  0.159999996    
       90400 , -0.200000003    
       90500 ,  0.319999993    
       90600 ,   7.99999982E-02
       90700 , -0.340000004    
       90800 , -0.239999995    
       90900 ,  -7.99999982E-02
       91000 ,   7.99999982E-02
