 T, m, L
  1.6666668E-02 ,   1.000000     ,          10
  3.3333335E-02 ,   1.000000     ,          10
  5.0000004E-02 ,   1.000000     ,          10
  6.6666670E-02 ,   1.000000     ,          10
  8.3333336E-02 ,   1.000000     ,          10
  0.1000000     ,   1.000000     ,          10
  0.1166667     ,   1.000000     ,          10
  0.1333333     ,   1.000000     ,          10
  0.1500000     ,   1.000000     ,          10
  0.1666667     ,   1.000000     ,          10
  0.1833333     ,   1.000000     ,          10
  0.2000000     ,   1.000000     ,          10
  0.2166667     ,   1.000000     ,          10
  0.2333333     ,   1.000000     ,          10
  0.2500000     ,   1.000000     ,          10
  0.2666667     ,   1.000000     ,          10
  0.2833334     ,   1.000000     ,          10
  0.3000000     ,   1.000000     ,          10
  0.3166667     ,   1.000000     ,          10
  0.3333333     ,   1.000000     ,          10
  0.3500000     ,   1.000000     ,          10
  0.3666667     ,   1.000000     ,          10
  0.3833334     ,   1.000000     ,          10
  0.4000000     ,   1.000000     ,          10
  0.4166667     ,   1.000000     ,          10
  0.4333334     ,   1.000000     ,          10
  0.4500000     ,   1.000000     ,          10
  0.4666667     ,   1.000000     ,          10
  0.4833333     ,   1.000000     ,          10
  0.5000000     ,   1.000000     ,          10
  0.5166667     ,   1.000000     ,          10
  0.5333334     ,   1.000000     ,          10
  0.5500000     ,   1.000000     ,          10
  0.5666667     ,   1.000000     ,          10
  0.5833334     ,  0.9999960     ,          10
  0.6000000     ,   1.000000     ,          10
  0.6166667     ,   1.000000     ,          10
  0.6333334     ,   1.000000     ,          10
  0.6500000     ,  0.9999840     ,          10
  0.6666667     ,  0.9999720     ,          10
  0.6833334     ,  0.9999800     ,          10
  0.7000000     ,  0.9999880     ,          10
  0.7166667     ,  0.9999800     ,          10
  0.7333333     ,  0.9999279     ,          10
  0.7500001     ,  0.9999599     ,          10
  0.7666667     ,  0.9999239     ,          10
  0.7833334     ,  0.9999319     ,          10
  0.8000001     ,  0.9998478     ,          10
  0.8166667     ,  0.9998999     ,          10
  0.8333334     ,  0.9998679     ,          10
  0.8500000     ,  0.9998519     ,          10
  0.8666667     ,  0.9997638     ,          10
  0.8833334     ,  0.9997798     ,          10
  0.9000000     ,  0.9997559     ,          10
  0.9166667     ,  0.9996678     ,          10
  0.9333334     ,  0.9995836     ,          10
  0.9500000     ,  0.9995155     ,          10
  0.9666667     ,  0.9993915     ,          10
  0.9833334     ,  0.9994236     ,          10
   1.000000     ,  0.9993555     ,          10
   1.016667     ,  0.9990672     ,          10
   1.033333     ,  0.9990392     ,          10
   1.050000     ,  0.9989871     ,          10
   1.066667     ,  0.9988911     ,          10
   1.083333     ,  0.9986829     ,          10
   1.100000     ,  0.9984747     ,          10
   1.116667     ,  0.9981985     ,          10
   1.133333     ,  0.9979343     ,          10
   1.150000     ,  0.9978382     ,          10
   1.166667     ,  0.9975580     ,          10
   1.183333     ,  0.9972697     ,          10
   1.200000     ,  0.9969895     ,          10
   1.216667     ,  0.9966974     ,          10
   1.233333     ,  0.9964211     ,          10
   1.250000     ,  0.9960048     ,          10
   1.266667     ,  0.9959928     ,          10
   1.283333     ,  0.9950921     ,          10
   1.300000     ,  0.9944957     ,          10
   1.316667     ,  0.9941273     ,          10
   1.333333     ,  0.9937229     ,          10
   1.350000     ,  0.9930867     ,          10
   1.366667     ,  0.9924021     ,          10
   1.383333     ,  0.9919856     ,          10
   1.400000     ,  0.9914653     ,          10
   1.416667     ,  0.9907088     ,          10
   1.433333     ,  0.9899164     ,          10
   1.450000     ,  0.9891359     ,          10
   1.466667     ,  0.9880469     ,          10
   1.483333     ,  0.9874504     ,          10
   1.500000     ,  0.9865220     ,          10
   1.516667     ,  0.9851454     ,          10
   1.533333     ,  0.9843448     ,          10
   1.550000     ,  0.9835120     ,          10
   1.566667     ,  0.9820636     ,          10
   1.583333     ,  0.9811794     ,          10
   1.600000     ,  0.9798260     ,          10
   1.616667     ,  0.9783054     ,          10
   1.633333     ,  0.9764760     ,          10
   1.650000     ,  0.9753765     ,          10
   1.666667     ,  0.9739751     ,          10
   1.683333     ,  0.9723303     ,          10
   1.700000     ,  0.9704934     ,          10
   1.716667     ,  0.9689977     ,          10
   1.733333     ,  0.9661524     ,          10
   1.750000     ,  0.9645797     ,          10
   1.766667     ,  0.9614625     ,          10
   1.783333     ,  0.9586421     ,          10
   1.800000     ,  0.9574010     ,          10
   1.816667     ,  0.9546132     ,          10
   1.833333     ,  0.9512163     ,          10
   1.850000     ,  0.9476556     ,          10
   1.866667     ,  0.9447395     ,          10
   1.883333     ,  0.9431357     ,          10
   1.900000     ,  0.9369987     ,          10
   1.916667     ,  0.9338444     ,          10
   1.933333     ,  0.9296110     ,          10
   1.950000     ,  0.9266915     ,          10
   1.966667     ,  0.9213355     ,          10
   1.983333     ,  0.9153285     ,          10
   2.000000     ,  0.9113716     ,          10
   2.016667     ,  0.9058373     ,          10
   2.033334     ,  0.8999620     ,          10
   2.050000     ,  0.8943517     ,          10
